Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGSNL781-24_r_1_s_50_BGSNL781-24,BGSNL781-24,6594685,1794,135,1533,16.0,153.0,68.99412915851272,66.0
BGSNL835-24_r_1_s_50_BGSNL835-24,BGSNL835-24,7561316,5949,45,1530,169.0,443.0,290.2901960784314,286.0
BGSNL839-24_r_1_s_50_BGSNL839-24,BGSNL839-24,7903535,1584,71,1512,34.0,125.0,78.74404761904762,78.0
BGSNL846-24_r_1.3_s_100_BGSNL846-24,BGSNL846-24,5514613,1480,166,1533,10.0,133.0,67.79452054794521,63.0
BGSNL777-24_r_1.5_s_100_BGSNL777-24,BGSNL777-24,7106044,1284,127,1533,31.0,135.0,79.5440313111546,77.0
BGSNL835-24_r_1.5_s_50_BGSNL835-24,BGSNL835-24,7561316,5729,45,1530,168.0,441.0,281.93333333333334,278.0
BGSNL837-24_r_1_s_100_BGSNL837-24,BGSNL837-24,8171981,1746,17,1530,45.0,175.0,93.36470588235294,89.0
BGSNL770-24_r_1.5_s_100_BGSNL770-24,BGSNL770-24,7849664,2831,21,1533,45.0,253.0,142.1115459882583,140.0
BGSNL783-24_r_1_s_50_BGSNL783-24,BGSNL783-24,7551644,2530,1,1533,36.0,250.0,108.53033268101761,105.0
BGSNL830-24_r_1_s_50_BGSNL830-24,BGSNL830-24,7575178,5059,9,1530,151.0,406.0,255.8921568627451,250.5
BGSNL833-24_r_1_s_100_BGSNL833-24,BGSNL833-24,7740307,1356,2,1530,35.0,124.0,70.91960784313726,70.0
BGSNL837-24_r_1_s_50_BGSNL837-24,BGSNL837-24,8171981,3280,17,1530,66.0,287.0,141.39803921568628,134.0
BGSNL763-24_r_1.5_s_50_BGSNL763-24,BGSNL763-24,9001373,1225,131,1506,6.0,106.0,72.8187250996016,75.0
BGSNL786-24_r_1.3_s_100_BGSNL786-24,BGSNL786-24,6965046,2068,5,1533,56.0,188.0,120.25440313111547,116.0
BGSNL846-24_r_1.5_s_100_BGSNL846-24,BGSNL846-24,5514613,1456,166,1533,10.0,131.0,66.20939334637964,61.0
BGSNL791-24_r_1_s_100_BGSNL791-24,BGSNL791-24,6801269,2656,38,1530,80.0,241.0,148.82549019607842,140.0
BGSNL826-24_r_1.5_s_100_BGSNL826-24,BGSNL826-24,7683822,315,0,1530,3.0,36.0,15.8,15.0
BGSNL770-24_r_1_s_50_BGSNL770-24,BGSNL770-24,7849664,5257,21,1533,107.0,379.0,219.07827788649706,214.0
BGSNL773-24_r_1.5_s_50_BGSNL773-24,BGSNL773-24,3108837,1586,5,1533,32.0,144.0,74.69667318982387,74.0
BGSNL804-24_r_1.5_s_100_BGSNL804-24,BGSNL804-24,6900068,122,11,1530,0.0,22.0,5.93921568627451,4.0
BGSNL761-24_r_1.3_s_50_BGSNL761-24,BGSNL761-24,1322970,208,174,1506,0.0,30.0,8.085657370517929,7.0
BGSNL776-24_r_1.5_s_100_BGSNL776-24,BGSNL776-24,4218482,1108,45,1533,9.0,128.0,51.75538160469667,47.0
BGSNL847-24_r_1.3_s_50_BGSNL847-24,BGSNL847-24,6512152,1178,64,1533,20.0,84.0,45.833659491193735,43.0
BGSNL763-24_r_1_s_100_BGSNL763-24,BGSNL763-24,9001373,1000,131,1506,19.0,98.0,66.97609561752988,67.0
BGSNL774-24_r_1_s_100_BGSNL774-24,BGSNL774-24,7273304,499,25,1533,7.0,52.0,25.52641878669276,25.0
BGSNL806-24_r_1.3_s_100_BGSNL806-24,BGSNL806-24,3400095,213,324,1530,0.0,61.0,11.158823529411764,7.0
BGSNL766-24_r_1.3_s_100_BGSNL766-24,BGSNL766-24,4730048,1121,35,1506,10.0,116.0,61.33665338645418,58.0
BGSNL844-24_r_1.5_s_50_BGSNL844-24,BGSNL844-24,672962,98,92,1533,0.0,17.0,3.892367906066536,3.0
BGSNL795-24_r_1.5_s_100_BGSNL795-24,BGSNL795-24,7371270,2220,300,1530,45.0,220.0,133.41372549019607,129.0
BGSNL817-24_r_1_s_50_BGSNL817-24,BGSNL817-24,1214657,228,2,1533,2.0,23.0,10.148727984344422,10.0
BGSNL831-24_r_1.3_s_100_BGSNL831-24,BGSNL831-24,2411951,1275,65,1530,39.0,120.0,78.96666666666667,78.0
BGSNL764-24_r_1_s_100_BGSNL764-24,BGSNL764-24,7403309,4097,164,1506,84.0,461.0,266.47011952191235,258.0
BGSNL801-24_r_1.5_s_50_BGSNL801-24,BGSNL801-24,8002021,2085,19,1530,64.0,161.0,113.93137254901961,114.0
BGSNL836-24_r_1.5_s_100_BGSNL836-24,BGSNL836-24,8341449,10952,516,1530,263.0,1113.0,611.9333333333333,580.5
BGSNL773-24_r_1_s_100_BGSNL773-24,BGSNL773-24,3108837,1054,5,1533,19.0,105.0,58.178082191780824,58.0
BGSNL809-24_r_1_s_100_BGSNL809-24,BGSNL809-24,8743024,5078,28,1533,187.0,522.0,332.958904109589,320.0
