Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BSCRO607-24_r_1.3_s_100_BSCRO607-24,BSCRO607-24,10084091,977,279,1533,0.0,133.0,101.7436399217221,102.0
BSCRO614-24_r_1.3_s_50_BSCRO614-24,BSCRO614-24,12316191,1266,105,1551,0.0,178.0,111.38491295938104,124.0
BSCRO586-24_r_1.3_s_100_BSCRO586-24,BSCRO586-24,7377468,9646,5175,1536,0.0,1310.0,873.369140625,853.5
BSCRO605-24_r_1_s_50_BSCRO605-24,BSCRO605-24,7856186,11407,2242,1536,0.0,1277.0,1054.017578125,1063.0
BSCRO587-24_r_1.3_s_50_BSCRO587-24,BSCRO587-24,6487099,288,3672,1533,6.0,45.0,22.964774951076322,22.0
BSCRO611-24_r_1_s_50_BSCRO611-24,BSCRO611-24,6911640,1398,197,1533,0.0,165.0,97.53228962818004,93.0
BSCRO608-24_r_1.3_s_100_BSCRO608-24,BSCRO608-24,11095168,284,29,1533,0.0,58.0,26.44031311154599,26.0
BSCRO612-24_r_1.5_s_50_BSCRO612-24,BSCRO612-24,9399394,142,1306,1551,0.0,55.0,6.148936170212766,4.0
BSCRO616-24_r_1_s_50_BSCRO616-24,BSCRO616-24,5823825,19864,412,1536,1.0,2206.0,1909.474609375,1939.5
BSCRO597-24_r_1_s_50_BSCRO597-24,BSCRO597-24,9617720,903,15,1551,0.0,117.0,70.96324951644101,69.0
BSCRO620-24_r_1_s_50_BSCRO620-24,BSCRO620-24,9414388,633,759,1533,2.0,76.0,39.80430528375734,38.0
BSCRO631-24_r_1.3_s_50_BSCRO631-24,BSCRO631-24,6671802,607,76,1536,0.0,78.0,51.501953125,52.0
BSCRO619-24_r_1.5_s_100_BSCRO619-24,BSCRO619-24,10573399,583,125,1533,0.0,105.0,60.63013698630137,56.0
BSCRO592-24_r_1_s_100_BSCRO592-24,BSCRO592-24,8364023,255,1278,1551,0.0,42.0,25.704061895551256,28.0
BSCRO593-24_r_1_s_100_BSCRO593-24,BSCRO593-24,9779416,15461,1402,1536,1.0,2383.0,1510.716796875,1462.0
BSCRO625-24_r_1.3_s_50_BSCRO625-24,BSCRO625-24,4837921,431,150,1533,0.0,50.0,25.909980430528375,26.0
BSCRO589-24_r_1.3_s_100_BSCRO589-24,BSCRO589-24,6414253,326,715,1533,0.0,77.0,32.93933463796478,31.0
BSCRO578-24_r_1_s_50_BSCRO578-24,BSCRO578-24,10690851,2272,120,1533,1.0,305.0,197.3835616438356,205.0
BSCRO641-24_r_1.3_s_100_BSCRO641-24,BSCRO641-24,7382056,498,3,1521,0.0,64.0,42.79289940828402,42.0
BSCRO632-24_r_1.3_s_50_BSCRO632-24,BSCRO632-24,9261210,685,1026,1536,24.0,95.0,53.51953125,52.0
BSCRO571-24_r_1.5_s_100_BSCRO571-24,BSCRO571-24,5991997,164,2225,1533,0.0,69.0,13.696673189823874,4.0
BSCRO655-24_r_1.3_s_100_BSCRO655-24,BSCRO655-24,6975097,1623,1955,1530,0.0,224.0,132.05098039215687,140.0
BSCRO634-24_r_1.3_s_100_BSCRO634-24,BSCRO634-24,5202307,749,133,1536,0.0,137.0,66.134765625,61.0
BSCRO594-24_r_1_s_50_BSCRO594-24,BSCRO594-24,8772770,1573,182,1551,0.0,189.0,119.80851063829788,122.0
BSCRO617-24_r_1.5_s_100_BSCRO617-24,BSCRO617-24,9242482,836,768,1533,0.0,153.0,89.00391389432485,87.0
BSCRO632-24_r_1_s_100_BSCRO632-24,BSCRO632-24,9261210,679,1026,1536,18.0,99.0,60.619140625,59.0
BSCRO619-24_r_1.5_s_50_BSCRO619-24,BSCRO619-24,10573399,641,125,1533,0.0,105.0,62.082191780821915,59.0
BSCRO582-24_r_1.3_s_100_BSCRO582-24,BSCRO582-24,10247935,151742,2105,1536,4.0,24139.0,13277.265625,12418.5
BSCRO597-24_r_1_s_100_BSCRO597-24,BSCRO597-24,9617720,623,15,1551,0.0,112.0,62.152804642166345,62.0
BSCRO604-24_r_1.3_s_50_BSCRO604-24,BSCRO604-24,8697243,288,44,1551,0.0,49.0,20.895551257253384,20.0
BSCRO649-24_r_1_s_50_BSCRO649-24,BSCRO649-24,5351486,396,15,1530,0.0,267.0,11.474509803921569,3.0
BSCRO645-24_r_1.3_s_100_BSCRO645-24,BSCRO645-24,8548831,431,60,1536,9.0,55.0,28.935546875,29.0
BSCRO631-24_r_1_s_50_BSCRO631-24,BSCRO631-24,6671802,852,76,1536,0.0,177.0,62.708984375,60.0
BSCRO576-24_r_1.5_s_100_BSCRO576-24,BSCRO576-24,8502158,211,523,1533,0.0,47.0,20.16046966731898,19.0
BSCRO642-24_r_1.3_s_50_BSCRO642-24,BSCRO642-24,8556997,946,637,1533,0.0,106.0,80.14677103718199,82.0
BSCRO603-24_r_1.3_s_100_BSCRO603-24,BSCRO603-24,11051690,6119,2081,1536,0.0,813.0,579.439453125,573.0
BSCRO643-24_r_1.3_s_100_BSCRO643-24,BSCRO643-24,8804757,136,12,1536,1.0,20.0,9.939453125,10.0
BSCRO617-24_r_1.5_s_50_BSCRO617-24,BSCRO617-24,9242482,951,768,1533,9.0,159.0,91.81213307240705,89.0
BSCRO575-24_r_1.3_s_50_BSCRO575-24,BSCRO575-24,8762751,845,776,1533,0.0,120.0,76.89236790606654,80.0
BSCRO608-24_r_1.5_s_100_BSCRO608-24,BSCRO608-24,11095168,230,29,1533,0.0,58.0,22.01761252446184,22.0
BSCRO664-24_r_1.5_s_50_BSCRO664-24,BSCRO664-24,7077985,820,2,1533,0.0,99.0,56.13502935420744,59.0
BSCRO632-24_r_1.5_s_100_BSCRO632-24,BSCRO632-24,9261210,500,1026,1536,2.0,77.0,43.974609375,45.0
BSCRO634-24_r_1.5_s_100_BSCRO634-24,BSCRO634-24,5202307,654,133,1536,0.0,130.0,57.85546875,54.0
BSCRO618-24_r_1.5_s_100_BSCRO618-24,BSCRO618-24,9459750,1104,1131,1533,0.0,165.0,114.60861056751467,117.0
BSCRO604-24_r_1.3_s_100_BSCRO604-24,BSCRO604-24,8697243,200,44,1551,0.0,43.0,18.798839458413926,17.0
BSCRO647-24_r_1.3_s_50_BSCRO647-24,BSCRO647-24,6715303,554,1152,1551,0.0,79.0,38.99806576402321,40.0
BSCRO644-24_r_1_s_50_BSCRO644-24,BSCRO644-24,5551760,4361,112,1551,0.0,578.0,399.5183752417795,438.0
BSCRO663-24_r_1_s_50_BSCRO663-24,BSCRO663-24,7881669,2780,183,1533,83.0,260.0,161.50097847358123,157.0
BSCRO642-24_r_1.5_s_50_BSCRO642-24,BSCRO642-24,8556997,819,637,1533,0.0,105.0,71.64579256360078,80.0
BSCRO632-24_r_1_s_50_BSCRO632-24,BSCRO632-24,9261210,1196,1026,1536,24.0,407.0,75.392578125,64.5
BSCRO605-24_r_1.5_s_100_BSCRO605-24,BSCRO605-24,7856186,9000,2242,1536,0.0,1162.0,875.271484375,927.5
BSCRO653-24_r_1_s_100_BSCRO653-24,BSCRO653-24,5419061,7643,2586,1536,339.0,1035.0,674.625,658.5
BSCRO594-24_r_1.3_s_100_BSCRO594-24,BSCRO594-24,8772770,855,182,1551,0.0,173.0,81.97872340425532,87.0
BSCRO589-24_r_1.5_s_50_BSCRO589-24,BSCRO589-24,6414253,303,715,1533,0.0,59.0,27.927592954990214,26.0
BSCRO572-24_r_1.3_s_100_BSCRO572-24,BSCRO572-24,9072512,476,549,1536,0.0,65.0,38.068359375,38.0
BSCRO571-24_r_1_s_100_BSCRO571-24,BSCRO571-24,5991997,888,2225,1533,0.0,201.0,92.7788649706458,99.0
BSCRO658-24_r_1.3_s_50_BSCRO658-24,BSCRO658-24,437908,25,172,1530,0.0,6.0,1.6392156862745098,0.0
BSCRO629-24_r_1.5_s_100_BSCRO629-24,BSCRO629-24,8447574,53,1900,1530,0.0,31.0,3.896078431372549,0.0
BSCRO635-24_r_1.5_s_50_BSCRO635-24,BSCRO635-24,5512174,14092,1305,1536,0.0,2040.0,899.837890625,833.0
BSCRO642-24_r_1.5_s_100_BSCRO642-24,BSCRO642-24,8556997,741,637,1533,0.0,104.0,69.42270058708415,78.0
BSCRO583-24_r_1_s_100_BSCRO583-24,BSCRO583-24,7425753,63,12,1536,0.0,23.0,6.1953125,4.0
BSCRO592-24_r_1.3_s_100_BSCRO592-24,BSCRO592-24,8364023,217,1278,1551,0.0,38.0,21.93617021276596,25.0
BSCRO575-24_r_1.5_s_100_BSCRO575-24,BSCRO575-24,8762751,681,776,1533,0.0,105.0,69.67906066536203,75.0
BSCRO643-24_r_1.5_s_50_BSCRO643-24,BSCRO643-24,8804757,152,12,1536,0.0,23.0,9.685546875,9.0
BSCRO652-24_r_1.5_s_100_BSCRO652-24,BSCRO652-24,7474000,363,57,1530,0.0,66.0,30.137254901960784,34.0
BSCRO590-24_r_1.5_s_100_BSCRO590-24,BSCRO590-24,10693226,597,1161,1533,0.0,90.0,60.048923679060664,61.0
BSCRO646-24_r_1.5_s_50_BSCRO646-24,BSCRO646-24,7867038,710,91,1551,0.0,180.0,70.63442940038685,67.0
BSCRO660-24_r_1_s_50_BSCRO660-24,BSCRO660-24,2083285,659,466,1533,0.0,158.0,50.596868884540115,41.0
BSCRO665-24_r_1.3_s_50_BSCRO665-24,BSCRO665-24,7456382,1445,22,1533,0.0,175.0,119.09980430528375,120.0
BSCRO601-24_r_1_s_100_BSCRO601-24,BSCRO601-24,7164128,1247,83,1536,0.0,180.0,114.31640625,117.0
BSCRO623-24_r_1.3_s_50_BSCRO623-24,BSCRO623-24,2687018,17966,214,1536,0.0,2380.0,1275.28125,1213.0
BSCRO615-24_r_1.5_s_50_BSCRO615-24,BSCRO615-24,8992549,2089,2821,1551,0.0,498.0,210.17214700193423,207.0
BSCRO607-24_r_1_s_50_BSCRO607-24,BSCRO607-24,10084091,1419,279,1533,2.0,190.0,118.03131115459882,117.0
BSCRO618-24_r_1_s_100_BSCRO618-24,BSCRO618-24,9459750,1294,1131,1533,0.0,184.0,133.54011741682976,135.0
BSCRO607-24_r_1.5_s_50_BSCRO607-24,BSCRO607-24,10084091,921,279,1533,0.0,135.0,91.05283757338552,98.0
BSCRO593-24_r_1_s_50_BSCRO593-24,BSCRO593-24,9779416,16741,1402,1536,1.0,2462.0,1549.390625,1508.0
BSCRO665-24_r_1.5_s_100_BSCRO665-24,BSCRO665-24,7456382,1244,22,1533,0.0,170.0,109.32681017612525,115.0
BSCRO603-24_r_1_s_100_BSCRO603-24,BSCRO603-24,11051690,6288,2081,1536,0.0,832.0,595.892578125,591.0
BSCRO586-24_r_1.5_s_100_BSCRO586-24,BSCRO586-24,7377468,8056,5175,1536,0.0,1141.0,732.361328125,730.5
BSCRO648-24_r_1_s_50_BSCRO648-24,BSCRO648-24,6583442,206,227,1536,0.0,72.0,7.36328125,5.0
BSCRO577-24_r_1.5_s_100_BSCRO577-24,BSCRO577-24,7970150,23977,5690,1536,0.0,4032.0,2371.064453125,2362.5
BSCRO576-24_r_1.3_s_100_BSCRO576-24,BSCRO576-24,8502158,240,523,1533,0.0,48.0,22.17808219178082,20.0
BSCRO620-24_r_1.3_s_100_BSCRO620-24,BSCRO620-24,9414388,429,759,1533,0.0,57.0,33.79647749510763,32.0
BSCRO660-24_r_1_s_100_BSCRO660-24,BSCRO660-24,2083285,496,466,1533,0.0,153.0,44.63600782778865,35.0
BSCRO658-24_r_1_s_50_BSCRO658-24,BSCRO658-24,437908,66,172,1530,0.0,19.0,5.374509803921568,4.0
BSCRO652-24_r_1.5_s_50_BSCRO652-24,BSCRO652-24,7474000,512,57,1530,0.0,125.0,33.65882352941176,35.0
BSCRO640-24_r_1_s_100_BSCRO640-24,BSCRO640-24,2235396,8120,278,1536,0.0,1032.0,632.658203125,604.0
BSCRO626-24_r_1_s_100_BSCRO626-24,BSCRO626-24,8000350,1080,11,1533,0.0,130.0,86.09197651663405,90.0
BSCRO640-24_r_1.5_s_100_BSCRO640-24,BSCRO640-24,2235396,6810,278,1536,0.0,922.0,528.6875,520.0
BSCRO645-24_r_1.5_s_50_BSCRO645-24,BSCRO645-24,8548831,448,60,1536,0.0,55.0,27.44140625,26.0
BSCRO639-24_r_1.3_s_50_BSCRO639-24,BSCRO639-24,903107,5172,251,1530,150.0,663.0,416.9235294117647,431.0
BSCRO630-24_r_1.5_s_50_BSCRO630-24,BSCRO630-24,10711920,406,1479,1536,1.0,61.0,34.501953125,34.0
BSCRO608-24_r_1.5_s_50_BSCRO608-24,BSCRO608-24,11095168,296,29,1533,0.0,58.0,23.696673189823876,23.0
BSCRO647-24_r_1_s_50_BSCRO647-24,BSCRO647-24,6715303,827,1152,1551,0.0,94.0,52.91682785299807,53.0
BSCRO653-24_r_1_s_50_BSCRO653-24,BSCRO653-24,5419061,8644,2586,1536,458.0,1061.0,711.9609375,698.5
BSCRO605-24_r_1.3_s_100_BSCRO605-24,BSCRO605-24,7856186,10058,2242,1536,0.0,1187.0,971.119140625,992.0
BSCRO653-24_r_1.5_s_100_BSCRO653-24,BSCRO653-24,5419061,5016,2586,1536,72.0,877.0,441.373046875,458.5
BSCRO640-24_r_1.3_s_100_BSCRO640-24,BSCRO640-24,2235396,7886,278,1536,0.0,965.0,612.361328125,579.5
BSCRO574-24_r_1.3_s_50_BSCRO574-24,BSCRO574-24,5234038,1384,1949,1533,0.0,192.0,113.70841487279843,118.0
BSCRO628-24_r_1_s_100_BSCRO628-24,BSCRO628-24,6102010,45074,1025,1536,0.0,7254.0,3446.83203125,2965.5
BSCRO586-24_r_1.5_s_50_BSCRO586-24,BSCRO586-24,7377468,8725,5175,1536,0.0,1147.0,751.85546875,754.5
BSCRO584-24_r_1.3_s_100_BSCRO584-24,BSCRO584-24,3343924,454,1335,1536,0.0,144.0,34.5078125,26.0
BSCRO601-24_r_1_s_50_BSCRO601-24,BSCRO601-24,7164128,1467,83,1536,1.0,184.0,121.150390625,122.0
BSCRO579-24_r_1.5_s_100_BSCRO579-24,BSCRO579-24,7140546,277,1776,1533,0.0,116.0,22.661448140900195,16.0
BSCRO660-24_r_1.5_s_50_BSCRO660-24,BSCRO660-24,2083285,161,466,1533,0.0,74.0,10.712328767123287,1.0
BSCRO659-24_r_1.3_s_100_BSCRO659-24,BSCRO659-24,5044683,518,728,1530,0.0,97.0,40.76470588235294,40.0
BSCRO626-24_r_1.3_s_50_BSCRO626-24,BSCRO626-24,8000350,1211,11,1533,0.0,148.0,88.0,90.0
BSCRO648-24_r_1.3_s_100_BSCRO648-24,BSCRO648-24,6583442,54,227,1536,0.0,9.0,3.0,3.0
BSCRO657-24_r_1.5_s_50_BSCRO657-24,BSCRO657-24,6774760,609,241,1530,0.0,100.0,45.67058823529412,46.0
