Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
ILECA1434-25_r_1.3_s_50_ILECA1434-25,ILECA1434-25,r_1.3_s_50_merge,>ILECA1434-25_r_1.3_s_50_ILECA1434-25_merge,2561109,QUQ05862.1,genus:Coleophora,,534,null,1530,16.0,64.0,34.04,33.0,null,null,null,null,null,null
ILECA1514-25_r_1.5_s_50_ILECA1514-25,ILECA1514-25,r_1.5_s_50_merge,>ILECA1514-25_r_1.5_s_50_ILECA1514-25_merge,3137949,QUQ05862.1,genus:Coleophora,,663,null,1530,28.0,90.0,53.94,52.5,null,null,null,null,null,null
ILECA1449-25_r_1_s_100_ILECA1449-25,ILECA1449-25,r_1_s_100_merge,>ILECA1449-25_r_1_s_100_ILECA1449-25_merge,2561109,QUQ05862.1,genus:Coleophora,,151,null,1530,0.0,54.0,15.98,10.0,null,null,null,null,null,null
ILECA1454-25_r_1.3_s_50_ILECA1454-25,ILECA1454-25,r_1.3_s_50_merge,>ILECA1454-25_r_1.3_s_50_ILECA1454-25_merge,2561109,QUQ05862.1,genus:Coleophora,,73,null,1530,0.0,12.0,3.9,4.0,null,null,null,null,null,null
ILECA1478-25_r_1.5_s_100_ILECA1478-25,ILECA1478-25,r_1.5_s_100_merge,>ILECA1478-25_r_1.5_s_100_ILECA1478-25_merge,1869627,QUQ05862.1,genus:Coleophora,,617,null,1530,1.0,76.0,48.42,53.0,null,null,null,null,null,null
ILECA1507-25_r_1.5_s_100_ILECA1507-25,ILECA1507-25,r_1.5_s_100_merge,>ILECA1507-25_r_1.5_s_100_ILECA1507-25_merge,2561109,QUQ05862.1,genus:Coleophora,,1703,null,1530,73.0,233.0,162.17,164.5,null,null,null,null,null,null
ILECA1432-25_r_1.3_s_50_ILECA1432-25,ILECA1432-25,r_1.3_s_50_merge,>ILECA1432-25_r_1.3_s_50_ILECA1432-25_merge,2561109,QUQ05862.1,genus:Coleophora,,110,null,1530,1.0,13.0,6.42,7.0,null,null,null,null,null,null
ILECA1498-25_r_1.5_s_50_ILECA1498-25,ILECA1498-25,r_1.5_s_50_merge,>ILECA1498-25_r_1.5_s_50_ILECA1498-25_merge,2561109,QUQ05862.1,genus:Coleophora,,1531,null,1530,11.0,190.0,114.04,117.5,null,null,null,null,null,null
ILECA1445-25_r_1.3_s_100_ILECA1445-25,ILECA1445-25,r_1.3_s_100_merge,>ILECA1445-25_r_1.3_s_100_ILECA1445-25_merge,2561109,QUQ05862.1,genus:Coleophora,,413,null,1530,15.0,50.0,30.39,30.0,null,null,null,null,null,null
ILECA1513-25_r_1.5_s_100_ILECA1513-25,ILECA1513-25,r_1.5_s_100_merge,>ILECA1513-25_r_1.5_s_100_ILECA1513-25_merge,3137949,QUQ05862.1,genus:Coleophora,,1200,null,1530,36.0,186.0,101.81,98.0,null,null,null,null,null,null
ILECA1452-25_r_1.5_s_50_ILECA1452-25,ILECA1452-25,r_1.5_s_50_merge,>ILECA1452-25_r_1.5_s_50_ILECA1452-25_merge,2561109,QUQ05862.1,genus:Coleophora,,234,null,1530,8.0,34.0,18.39,17.0,null,null,null,null,null,null
