Project Code	Process ID	Sample ID	Field ID	BIN	Catalog Num	ITS Seq. Length	ITS Trace Count	ITS Accession	COI-5P Seq. Length	COI-5P Trace Count	COI-5P Accession	CYTB Seq. Length	CYTB Trace Count	CYTB Accession	Image Count	Barcode Compliant	Contamination	Stop Codon	Flagged Record	Collection Date	Identification	Life Stage	Extra Info	Voucher Type	Institution	Notes
BGENL	BGENL1996-24	RMNH.INS.1646021	RMNH.INS.1646021	BOLD:AGQ5255	RMNH.INS.1646021	0[n]			1527[0n]			0[n]			1	No				23-Aug-1983	Chlorita tessellata			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL1997-24	RMNH.INS.1646022	RMNH.INS.1646022	BOLD:AGP9586	RMNH.INS.1646022	0[n]			1434[0n]			0[n]			1	No				17-Jun-1976	Tamaricella tamaricis			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL1998-24	RMNH.INS.1646023	RMNH.INS.1646023	BOLD:ADU4926	RMNH.INS.1646023	0[n]			1509[0n]			0[n]			1	No				22-Jun-1981	Eupterycyba jucunda			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL1999-24	RMNH.INS.1646024	RMNH.INS.1646024	BOLD:ACO8254	RMNH.INS.1646024	0[n]			1533[0n]			0[n]			1	No				22-Aug-1983	Eupteryx heydenii			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2000-24	RMNH.INS.1646025	RMNH.INS.1646025	BOLD:AGP9743	RMNH.INS.1646025	0[n]			1527[0n]			0[n]			1	No				04-Aug-1964	Sulamicerus stali			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2001-24	RMNH.INS.1646761	RMNH.INS.1646761	BOLD:AGP9869	RMNH.INS.1646761	0[n]			1530[0n]			0[n]			1	No				08-Jul-1964	Selenocephalus pallens			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2002-24	RMNH.INS.1646762	RMNH.INS.1646762	BOLD:AGP9870	RMNH.INS.1646762	0[n]			1530[0n]			0[n]			1	No				10-Oct-1963	Selenocephalus pallidus			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2003-24	RMNH.INS.1646763	RMNH.INS.1646763	BOLD:AGQ1439	RMNH.INS.1646763	0[n]			1533[0n]			0[n]			1	No				01-Jul-1986	Macropsidius dispar			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2004-24	RMNH.INS.1646764	RMNH.INS.1646764	BOLD:AEI6088	RMNH.INS.1646764	0[n]			1533[0n]			0[n]			1	No				03-Jul-1959	Macropsis infuscata			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2005-24	RMNH.INS.1646765	RMNH.INS.1646765	BOLD:AEH9796	RMNH.INS.1646765	0[n]			1533[0n]			0[n]			1	No				28-Jul-1981	Megophthalmus scanicus			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2006-24	RMNH.INS.1646766	RMNH.INS.1646766	BOLD:ADW3730	RMNH.INS.1646766	0[n]			1533[0n]			0[n]			1	No				30-Jun-1981	Oncopsis alni			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2007-24	RMNH.INS.1646767	RMNH.INS.1646767	BOLD:AEH9737	RMNH.INS.1646767	0[n]			1539[0n]			0[n]			1	No				07-Jul-1959	Batracomorphus allionii			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2008-24	RMNH.INS.1646768	RMNH.INS.1646768	BOLD:AEH9736	RMNH.INS.1646768	0[n]			1539[5n]			0[n]			1	No				28-Jul-1981	Batracomorphus irroratus			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2009-24	RMNH.INS.1646769	RMNH.INS.1646769	BOLD:AGR3808	RMNH.INS.1646769	0[n]			1533[0n]			0[n]			1	No				16-Jun-1983	Aphrodes carinata			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2010-24	RMNH.INS.1646770	RMNH.INS.1646770	BOLD:ACR1968	RMNH.INS.1646770	0[n]			1533[0n]			0[n]			1	No				26-Aug-1983	Alebra albostriella			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2011-24	RMNH.INS.1646771	RMNH.INS.1646771	BOLD:AEH9810	RMNH.INS.1646771	0[n]			1446[0n]			0[n]			1	No				03-Sep-1981	Erythria aureola			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2012-24	RMNH.INS.1646772	RMNH.INS.1646772	BOLD:AAY6741	RMNH.INS.1646772	0[n]			1533[0n]			0[n]			1	No				01-Jun-1980	Hebata solani			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2013-24	RMNH.INS.1646773	RMNH.INS.1646773	BOLD:AGQ1994	RMNH.INS.1646773	0[n]			1530[2n]			0[n]			1	No				21-Jun-1983	Kybos smaragdula			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2014-24	RMNH.INS.1646774	RMNH.INS.1646774	BOLD:AGR5051	RMNH.INS.1646774	0[n]			1527[0n]			0[n]			1	No				01-Aug-1980	Emelyanoviana mollicula			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2015-24	RMNH.INS.1646775	RMNH.INS.1646775	BOLD:AEI2367	RMNH.INS.1646775	0[n]			1356[5n]			0[n]			1	No				20-Apr-1980	Micantulina stigmatipennis			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2016-24	RMNH.INS.1646776	RMNH.INS.1646776	BOLD:AGR3167	RMNH.INS.1646776	0[n]			1533[0n]			0[n]			1	No				21-May-1982	Cechenotettix ibericola			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2017-24	RMNH.INS.1646777	RMNH.INS.1646777	BOLD:AEU7969	RMNH.INS.1646777	0[n]			1542[0n]			0[n]			1	No				17-Jul-1986	Platymetopius filigranus			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2018-24	RMNH.INS.1646778	RMNH.INS.1646778	BOLD:ACY8825	RMNH.INS.1646778	0[n]			1548[0n]			0[n]			1	No				03-Oct-1960	Platymetopius undatus			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2019-24	RMNH.INS.1646779	RMNH.INS.1646779		RMNH.INS.1646779	0[n]			0[n]			0[n]			1	No				26-Aug-1979	Macrosteles sordidipennis			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2020-24	RMNH.INS.1646780	RMNH.INS.1646780	BOLD:ACO6061	RMNH.INS.1646780	0[n]			1536[0n]			0[n]			1	No				19-Jul-1978	Recilia coronifer			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2021-24	RMNH.INS.1646781	RMNH.INS.1646781	BOLD:ACO6061	RMNH.INS.1646781	0[n]			1533[6n]			0[n]			1	No				25-Apr-1975	Maiestas schmidtgeni			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2022-24	RMNH.INS.1646044	RMNH.INS.1646044		RMNH.INS.1646044	0[n]			0[n]			0[n]			1	No				12-Aug-1986	Balclutha nicolasi			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2023-24	RMNH.INS.1646045	RMNH.INS.1646045	BOLD:AGR0110	RMNH.INS.1646045	0[n]			1506[3n]			0[n]			1	No				01-May-1975	Concavifer bolkarensis			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2024-24	RMNH.INS.1646046	RMNH.INS.1646046		RMNH.INS.1646046	0[n]			0[n]			0[n]			1	No				01-Jul-1986	Doratura exilis			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2025-24	RMNH.INS.1646047	RMNH.INS.1646047	BOLD:AEI4155	RMNH.INS.1646047	0[n]			1533[0n]			0[n]			1	No				16-Aug-1986	Doratura heterophyla			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2026-24	RMNH.INS.1646048	RMNH.INS.1646048	BOLD:AAV0162	RMNH.INS.1646048	0[n]			1545[0n]			0[n]			1	No				17-Jul-1978	Allygidius atomarius			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2027-24	RMNH.INS.1646049	RMNH.INS.1646049	BOLD:ACR2550	RMNH.INS.1646049	0[n]			1524[0n]			0[n]			1	No				10-Aug-1986	Allygidius mayri			Vouchered:Registered Collection	Naturalis Biodiversity Center	
BGENL	BGENL2028-24	RMNH.INS.1646050	RMNH.INS.1646050	BOLD:AGR3422	RMNH.INS.1646050	0[n]			1527[0n]			0[n]			1	No				05-Aug-1979	Bilusius serratus			Vouchered:Registered Collection	Naturalis Biodiversity Center	
