Sample ID	Sex	Reproduction	Life Stage	Extra Info	Notes	Voucher Status	Tissue Descriptor	External URLs	Associated Taxa	Associated Specimens
RMNH.INS.1646021						Vouchered:Registered Collection	leg			
RMNH.INS.1646022						Vouchered:Registered Collection	leg			
RMNH.INS.1646023						Vouchered:Registered Collection	leg			
RMNH.INS.1646024						Vouchered:Registered Collection	leg			
RMNH.INS.1646025						Vouchered:Registered Collection	leg			
RMNH.INS.1646761						Vouchered:Registered Collection	leg			
RMNH.INS.1646762						Vouchered:Registered Collection	leg			
RMNH.INS.1646763						Vouchered:Registered Collection	leg			
RMNH.INS.1646764						Vouchered:Registered Collection	leg			
RMNH.INS.1646765						Vouchered:Registered Collection	leg			
RMNH.INS.1646766						Vouchered:Registered Collection	leg			
RMNH.INS.1646767						Vouchered:Registered Collection	leg			
RMNH.INS.1646768						Vouchered:Registered Collection	leg			
RMNH.INS.1646769						Vouchered:Registered Collection	leg			
RMNH.INS.1646770						Vouchered:Registered Collection	leg			
RMNH.INS.1646771						Vouchered:Registered Collection	leg			
RMNH.INS.1646772						Vouchered:Registered Collection	whole specimen			
RMNH.INS.1646773						Vouchered:Registered Collection	leg			
RMNH.INS.1646774						Vouchered:Registered Collection	leg			
RMNH.INS.1646775						Vouchered:Registered Collection	leg			
RMNH.INS.1646776						Vouchered:Registered Collection	leg			
RMNH.INS.1646777						Vouchered:Registered Collection	leg			
RMNH.INS.1646778						Vouchered:Registered Collection	leg			
RMNH.INS.1646779						Vouchered:Registered Collection	leg			
RMNH.INS.1646780						Vouchered:Registered Collection	leg			
RMNH.INS.1646781						Vouchered:Registered Collection	leg			
RMNH.INS.1646044						Vouchered:Registered Collection	leg			
RMNH.INS.1646045						Vouchered:Registered Collection	leg			
RMNH.INS.1646046						Vouchered:Registered Collection	leg			
RMNH.INS.1646047						Vouchered:Registered Collection	leg			
RMNH.INS.1646048						Vouchered:Registered Collection	leg			
RMNH.INS.1646049						Vouchered:Registered Collection	leg			
RMNH.INS.1646050						Vouchered:Registered Collection	leg			
RMNH.INS.1646051						Vouchered:Registered Collection	leg			
RMNH.INS.1646052						Vouchered:Registered Collection	leg			
RMNH.INS.1646053						Vouchered:Registered Collection	leg			
ZMA.INS.1451868						Vouchered:Registered Collection	leg			
ZMA.INS.1451869						Vouchered:Registered Collection	leg			
ZMA.INS.5145116						Vouchered:Registered Collection	leg			
ZMA.INS.5145117						Vouchered:Registered Collection	leg			
ZMA.INS.5145118						Vouchered:Registered Collection	leg			
