ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s	fcleaner	merge	n_reads_in	n_reads_aligned	n_reads_skipped	ref_length	cov_min	cov_max	cov_avg	cov_med
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1000-24_r_1_s_50	Stenopterus atricornis	0	UNIFI1000-24	1	50	False	False	1424138	7850	166	1533	123.0	784.0	426.62035225048925	445.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1000-24_r_1_s_100	Stenopterus atricornis	0	UNIFI1000-24	1	100	False	False	1424138	5742	166	1533	108.0	737.0	354.17025440313114	343.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1000-24_r_1.3_s_50	Stenopterus atricornis	0	UNIFI1000-24	1.3	50	False	False	1424138	7183	166	1533	50.0	774.0	387.31311154598825	401.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1000-24_r_1.3_s_100	Stenopterus atricornis	0	UNIFI1000-24	1.3	100	False	False	1424138	5371	166	1533	50.0	724.0	327.4755381604697	314.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1494	Cerambycidae	UNIFI1000-24_r_1.5_s_50	Stenopterus atricornis	0	UNIFI1000-24	1.5	50	False	False	1424138	5843	166	1533	0.0	770.0	317.5499021526419	308.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1494	Cerambycidae	UNIFI1000-24_r_1.5_s_100	Stenopterus atricornis	0	UNIFI1000-24	1.5	100	False	False	1424138	4532	166	1533	0.0	722.0	275.70254403131116	273.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1001-24_r_1_s_50	Stenopterus atricornis	0	UNIFI1001-24	1	50	False	False	2980375	4280	1144	1533	87.0	438.0	229.09001956947162	216.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1001-24_r_1_s_100	Stenopterus atricornis	0	UNIFI1001-24	1	100	False	False	2980375	2903	1144	1533	69.0	398.0	183.07632093933464	171.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1001-24_r_1.3_s_50	Stenopterus atricornis	0	UNIFI1001-24	1.3	50	False	False	2980375	3890	1144	1533	38.0	434.0	207.26418786692759	189.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1533	Cerambycidae	UNIFI1001-24_r_1.3_s_100	Stenopterus atricornis	0	UNIFI1001-24	1.3	100	False	False	2980375	2721	1144	1533	38.0	394.0	169.8825831702544	151.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1503	Cerambycidae	UNIFI1001-24_r_1.5_s_50	Stenopterus atricornis	0	UNIFI1001-24	1.5	50	False	False	2980375	3218	1144	1533	0.0	427.0	171.6536203522505	165.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1503	Cerambycidae	UNIFI1001-24_r_1.5_s_100	Stenopterus atricornis	0	UNIFI1001-24	1.5	100	False	False	2980375	2337	1144	1533	0.0	392.0	144.587084148728	132.0
34	62	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1503	Staphylinidae,Chrysomelidae,Cerambycidae,Empididae,Dolichopodidae,Calliphoridae	UNIFI1002-24_r_1_s_50	Stenurella approximans	0	UNIFI1002-24	1	50	False	False	3627239	314	268	1503	2.0	38.0	17.169660678642714	16.0
38	63	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	596	1437	Meloidae,Drosophilidae,Calliphoridae,Corydalidae	UNIFI1002-24_r_1_s_100	Stenurella approximans	0	UNIFI1002-24	1	100	False	False	3627239	183	268	1503	0.0	34.0	13.073852295409182	12.0
1	1	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1002-24_r_1.3_s_50	Stenurella approximans	0	UNIFI1002-24	1.3	50	False	False	3627239	219	268	1503	1.0	31.0	11.57684630738523	11.0
13	28	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	597	1437	Cerambycidae	UNIFI1002-24_r_1.3_s_100	Stenurella approximans	0	UNIFI1002-24	1.3	100	False	False	3627239	141	268	1503	0.0	28.0	9.3812375249501	8.0
1	3	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	642	1452	Cerambycidae	UNIFI1002-24_r_1.5_s_50	Stenurella approximans	0	UNIFI1002-24	1.5	50	False	False	3627239	172	268	1503	0.0	29.0	9.383233532934131	8.0
0	1	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	573	1377	Cerambycidae	UNIFI1002-24_r_1.5_s_100	Stenurella approximans	0	UNIFI1002-24	1.5	100	False	False	3627239	121	268	1503	0.0	28.0	7.936127744510978	6.0
1	1	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1003-24_r_1_s_50	Stenurella approximans	0	UNIFI1003-24	1	50	False	False	3165701	539	82	1503	12.0	64.0	32.119760479041915	30.0
2	2	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1003-24_r_1_s_100	Stenurella approximans	0	UNIFI1003-24	1	100	False	False	3165701	391	82	1503	3.0	55.0	27.04191616766467	25.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1003-24_r_1.3_s_50	Stenurella approximans	0	UNIFI1003-24	1.3	50	False	False	3165701	476	82	1503	8.0	52.0	27.177644710578843	26.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1003-24_r_1.3_s_100	Stenurella approximans	0	UNIFI1003-24	1.3	100	False	False	3165701	354	82	1503	3.0	46.0	23.121756487025948	23.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1464	Cerambycidae	UNIFI1003-24_r_1.5_s_50	Stenurella approximans	0	UNIFI1003-24	1.5	50	False	False	3165701	414	82	1503	0.0	51.0	23.902195608782435	24.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1464	Cerambycidae	UNIFI1003-24_r_1.5_s_100	Stenurella approximans	0	UNIFI1003-24	1.5	100	False	False	3165701	325	82	1503	0.0	42.0	21.001996007984033	22.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1004-24_r_1_s_50	Stenurella approximans	0	UNIFI1004-24	1	50	False	False	4165422	3854	323	1503	123.0	389.0	257.8902195608782	261.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1004-24_r_1_s_100	Stenurella approximans	0	UNIFI1004-24	1	100	False	False	4165422	3232	323	1503	93.0	366.0	236.47105788423153	236.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1004-24_r_1.3_s_50	Stenurella approximans	0	UNIFI1004-24	1.3	50	False	False	4165422	3664	323	1503	123.0	377.0	246.4191616766467	243.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1004-24_r_1.3_s_100	Stenurella approximans	0	UNIFI1004-24	1.3	100	False	False	4165422	3129	323	1503	91.0	360.0	228.7305389221557	222.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1004-24_r_1.5_s_50	Stenurella approximans	0	UNIFI1004-24	1.5	50	False	False	4165422	3285	323	1503	5.0	371.0	220.88622754491018	227.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1503	Cerambycidae	UNIFI1004-24_r_1.5_s_100	Stenurella approximans	0	UNIFI1004-24	1.5	100	False	False	4165422	2847	323	1503	5.0	358.0	206.6806387225549	210.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1005-24_r_1_s_50	Stictoleptura rufa	0	UNIFI1005-24	1	50	False	False	5186249	1385	362	1542	56.0	169.0	101.06614785992218	97.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1005-24_r_1_s_100	Stictoleptura rufa	0	UNIFI1005-24	1	100	False	False	5186249	1180	362	1542	52.0	144.0	94.50972762645914	92.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1005-24_r_1.3_s_50	Stictoleptura rufa	0	UNIFI1005-24	1.3	50	False	False	5186249	1291	362	1542	49.0	167.0	95.77626459143968	93.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1005-24_r_1.3_s_100	Stictoleptura rufa	0	UNIFI1005-24	1.3	100	False	False	5186249	1147	362	1542	48.0	141.0	91.17315175097276	89.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1005-24_r_1.5_s_50	Stictoleptura rufa	0	UNIFI1005-24	1.5	50	False	False	5186249	1148	362	1542	29.0	162.0	86.10894941634241	85.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1005-24_r_1.5_s_100	Stictoleptura rufa	0	UNIFI1005-24	1.5	100	False	False	5186249	1044	362	1542	25.0	139.0	82.93190661478599	84.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1006-24_r_1_s_50	Stictoleptura rufa	0	UNIFI1006-24	1	50	False	False	3520155	706	189	1542	22.0	70.0	43.00389105058366	41.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1006-24_r_1_s_100	Stictoleptura rufa	0	UNIFI1006-24	1	100	False	False	3520155	562	189	1542	17.0	62.0	38.5136186770428	38.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1006-24_r_1.3_s_50	Stictoleptura rufa	0	UNIFI1006-24	1.3	50	False	False	3520155	640	189	1542	18.0	67.0	39.63035019455253	38.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1006-24_r_1.3_s_100	Stictoleptura rufa	0	UNIFI1006-24	1.3	100	False	False	3520155	543	189	1542	17.0	62.0	36.70038910505836	35.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1006-24_r_1.5_s_50	Stictoleptura rufa	0	UNIFI1006-24	1.5	50	False	False	3520155	554	189	1542	6.0	63.0	34.57976653696498	34.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1006-24_r_1.5_s_100	Stictoleptura rufa	0	UNIFI1006-24	1.5	100	False	False	3520155	480	189	1542	6.0	60.0	32.34241245136187	31.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1007-24_r_1_s_50	Stictoleptura rufa	0	UNIFI1007-24	1	50	False	False	3569410	950	230	1542	35.0	93.0	58.15175097276265	57.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1007-24_r_1_s_100	Stictoleptura rufa	0	UNIFI1007-24	1	100	False	False	3569410	734	230	1542	28.0	80.0	51.19260700389105	50.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1007-24_r_1.3_s_50	Stictoleptura rufa	0	UNIFI1007-24	1.3	50	False	False	3569410	894	230	1542	31.0	89.0	55.659533073929964	54.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1007-24_r_1.3_s_100	Stictoleptura rufa	0	UNIFI1007-24	1.3	100	False	False	3569410	724	230	1542	28.0	80.0	50.37548638132296	48.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1007-24_r_1.5_s_50	Stictoleptura rufa	0	UNIFI1007-24	1.5	50	False	False	3569410	780	230	1542	13.0	81.0	49.33268482490272	49.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1542	Cerambycidae	UNIFI1007-24_r_1.5_s_100	Stictoleptura rufa	0	UNIFI1007-24	1.5	100	False	False	3569410	650	230	1542	13.0	80.0	45.37937743190661	45.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1008-24_r_1_s_50	Vadonia bipunctata	0	UNIFI1008-24	1	50	False	False	3290607	2508	182	1545	88.0	262.0	169.01359223300972	170.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1008-24_r_1_s_100	Vadonia bipunctata	0	UNIFI1008-24	1	100	False	False	3290607	2069	182	1545	62.0	237.0	154.47766990291262	157.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1008-24_r_1.3_s_50	Vadonia bipunctata	0	UNIFI1008-24	1.3	50	False	False	3290607	2309	182	1545	80.0	249.0	155.74368932038834	157.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1008-24_r_1.3_s_100	Vadonia bipunctata	0	UNIFI1008-24	1.3	100	False	False	3290607	1952	182	1545	60.0	229.0	144.2135922330097	147.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1008-24_r_1.5_s_50	Vadonia bipunctata	0	UNIFI1008-24	1.5	50	False	False	3290607	1843	182	1545	4.0	230.0	126.39417475728155	141.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1008-24_r_1.5_s_100	Vadonia bipunctata	0	UNIFI1008-24	1.5	100	False	False	3290607	1603	182	1545	4.0	223.0	118.91456310679612	131.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1009-24_r_1_s_50	Vadonia bisignata	0	UNIFI1009-24	1	50	False	False	3799636	42414	229	1545	1609.0	4699.0	3303.9087378640775	3310.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1009-24_r_1_s_100	Vadonia bisignata	0	UNIFI1009-24	1	100	False	False	3799636	38751	229	1545	1545.0	4585.0	3183.3961165048545	3176.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1009-24_r_1.3_s_50	Vadonia bisignata	0	UNIFI1009-24	1.3	50	False	False	3799636	40923	229	1545	1598.0	4692.0	3188.766990291262	3260.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1009-24_r_1.3_s_100	Vadonia bisignata	0	UNIFI1009-24	1.3	100	False	False	3799636	37500	229	1545	1458.0	4579.0	3078.5669902912623	3078.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1009-24_r_1.5_s_50	Vadonia bisignata	0	UNIFI1009-24	1.5	50	False	False	3799636	33798	229	1545	12.0	4502.0	2658.831067961165	2837.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1009-24_r_1.5_s_100	Vadonia bisignata	0	UNIFI1009-24	1.5	100	False	False	3799636	31522	229	1545	12.0	4462.0	2589.5300970873786	2748.0
17	49	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1545	Staphylinidae,Culicidae,Syrphidae,Calliphoridae,Tortricidae,Crambidae	UNIFI1010-24_r_1_s_50	Vadonia bisignata	0	UNIFI1010-24	1	50	False	False	2138611	1596	249	1545	6.0	146.0	79.58252427184466	86.0
12	32	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1545	Alydidae,Chrysomelidae,Chironomidae,Syrphidae,Chloropidae,Calliphoridae	UNIFI1010-24_r_1_s_100	Vadonia bisignata	0	UNIFI1010-24	1	100	False	False	2138611	792	249	1545	2.0	106.0	50.78252427184466	50.0
3	9	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1545	Carabidae,Sphaeroceridae,Muscidae,Calliphoridae,Tachinidae	UNIFI1010-24_r_1.3_s_50	Vadonia bisignata	0	UNIFI1010-24	1.3	50	False	False	2138611	1026	249	1545	2.0	137.0	49.90873786407767	49.0
1	5	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1545	Sphaeroceridae,Muscidae,Calliphoridae,Crambidae	UNIFI1010-24_r_1.3_s_100	Vadonia bisignata	0	UNIFI1010-24	1.3	100	False	False	2138611	577	249	1545	2.0	101.0	35.16893203883495	33.0
4	4	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	635	1464	Hydraenidae,Cerambycidae	UNIFI1010-24_r_1.5_s_50	Vadonia bisignata	0	UNIFI1010-24	1.5	50	False	False	2138611	541	249	1545	0.0	122.0	27.920388349514564	25.0
4	4	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	635	1452	Cerambycidae	UNIFI1010-24_r_1.5_s_100	Vadonia bisignata	0	UNIFI1010-24	1.5	100	False	False	2138611	385	249	1545	0.0	97.0	23.240776699029126	19.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1011-24_r_1_s_50	Vadonia bisignata	0	UNIFI1011-24	1	50	False	False	4037031	16040	3299	1545	415.0	2122.0	1039.157281553398	968.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1011-24_r_1_s_100	Vadonia bisignata	0	UNIFI1011-24	1	100	False	False	4037031	13297	3299	1545	376.0	2025.0	946.9184466019417	886.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1011-24_r_1.3_s_50	Vadonia bisignata	0	UNIFI1011-24	1.3	50	False	False	4037031	14852	3299	1545	404.0	2093.0	964.1106796116505	908.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1011-24_r_1.3_s_100	Vadonia bisignata	0	UNIFI1011-24	1.3	100	False	False	4037031	12577	3299	1545	371.0	2018.0	890.8796116504855	844.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1011-24_r_1.5_s_50	Vadonia bisignata	0	UNIFI1011-24	1.5	50	False	False	4037031	11603	3299	1545	5.0	1978.0	757.7029126213592	768.0
0	0	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	657	1545	Cerambycidae	UNIFI1011-24_r_1.5_s_100	Vadonia bisignata	0	UNIFI1011-24	1.5	100	False	False	4037031	10113	3299	1545	4.0	1958.0	712.5126213592233	733.0
20	34	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	520	1305	Curculionidae,Dermestidae,Bostrichidae,Psychodidae,Vespidae,Tetracampidae	UNIFI1012-24_r_1_s_50	Vadonia dojranensis	0	UNIFI1012-24	1	50	False	False	1647152	84	139	1545	0.0	19.0	4.1825242718446605	2.0
0	21	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	279	954	Curculionidae,Dermestidae,Bostrichidae,Psychodidae,Vespidae,Tetracampidae	UNIFI1012-24_r_1_s_100	Vadonia dojranensis	0	UNIFI1012-24	1	100	False	False	1647152	34	139	1545	0.0	14.0	2.462135922330097	1.0
19	41	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	504	1146	Chrysomelidae,Cerambycidae	UNIFI1012-24_r_1.3_s_50	Vadonia dojranensis	0	UNIFI1012-24	1.3	50	False	False	1647152	41	139	1545	0.0	8.0	1.807766990291262	2.0
0	20	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	279	804	Cleridae,Cryptophagidae,Cerambycidae,Dermestidae,Bostrichidae,Psychodidae,Vespidae,Tetracampidae	UNIFI1012-24_r_1.3_s_100	Vadonia dojranensis	0	UNIFI1012-24	1.3	100	False	False	1647152	19	139	1545	0.0	4.0	1.075728155339806	1.0
5	7	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	590	837	Cryptophagidae,Chrysomelidae,Cerambycidae	UNIFI1012-24_r_1.5_s_50	Vadonia dojranensis	1	UNIFI1012-24	1.5	50	False	False	1647152	23	139	1545	0.0	5.0	0.9106796116504854	1.0
2	2	data/BGE00431_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	482	525	Carabidae,Cleridae,Cryptophagidae,Chrysomelidae,Cerambycidae	UNIFI1012-24_r_1.5_s_100	Vadonia dojranensis	1	UNIFI1012-24	1.5	100	False	False	1647152	9	139	1545	0.0	3.0	0.44854368932038835	0.0
