Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
ILECA2041-25_r_1.3_s_100_ILECA2041-25,ILECA2041-25,r_1.3_s_100_merge,>ILECA2041-25_r_1.3_s_100_ILECA2041-25_merge,2561109,QUQ05862.1,genus:Coleophora,,161,null,1530,2.0,28.0,12.37,12.0,null,null,null,null,null,null
ILECA2089-25_r_1_s_50_ILECA2089-25,ILECA2089-25,r_1_s_50_merge,>ILECA2089-25_r_1_s_50_ILECA2089-25_merge,2828462,YP_010177771.1,subfamily:Oecophorinae,,0,null,1530,0.0,0.0,0.0,0.0,null,null,null,null,null,null
ILECA2032-25_r_1.3_s_50_ILECA2032-25,ILECA2032-25,r_1.3_s_50_merge,>ILECA2032-25_r_1.3_s_50_ILECA2032-25_merge,1869636,QUQ05862.1,genus:Coleophora,,123,null,1530,3.0,19.0,9.47,9.0,null,null,null,null,null,null
ILECA2041-25_r_1.5_s_50_ILECA2041-25,ILECA2041-25,r_1.5_s_50_merge,>ILECA2041-25_r_1.5_s_50_ILECA2041-25_merge,2561109,QUQ05862.1,genus:Coleophora,,171,null,1530,2.0,30.0,12.57,12.0,null,null,null,null,null,null
ILECA2058-25_r_1_s_100_ILECA2058-25,ILECA2058-25,r_1_s_100_merge,>ILECA2058-25_r_1_s_100_ILECA2058-25_merge,2561109,QUQ05862.1,genus:Coleophora,,114,null,1530,1.0,20.0,8.1,8.0,null,null,null,null,null,null
ILECA2054-25_r_1_s_50_ILECA2054-25,ILECA2054-25,r_1_s_50_merge,>ILECA2054-25_r_1_s_50_ILECA2054-25_merge,2561109,QUQ05862.1,genus:Coleophora,,292,null,1530,11.0,32.0,19.84,20.0,null,null,null,null,null,null
ILECA2012-25_r_1.5_s_50_ILECA2012-25,ILECA2012-25,r_1.5_s_50_merge,>ILECA2012-25_r_1.5_s_50_ILECA2012-25_merge,2561109,QUQ05862.1,genus:Coleophora,,873,null,1530,22.0,86.0,56.11,57.0,null,null,null,null,null,null
ILECA2008-25_r_1_s_50_ILECA2008-25,ILECA2008-25,r_1_s_50_merge,>ILECA2008-25_r_1_s_50_ILECA2008-25_merge,2561109,QUQ05862.1,genus:Coleophora,,326,null,1530,3.0,45.0,18.36,17.0,null,null,null,null,null,null
ILECA2069-25_r_1.3_s_50_ILECA2069-25,ILECA2069-25,r_1.3_s_50_merge,>ILECA2069-25_r_1.3_s_50_ILECA2069-25_merge,934840,WWT36307.1,species:Eupithecia abbreviata,,180,null,1533,2.0,24.0,12.05,11.0,null,null,null,null,null,null
ILECA2031-25_r_1.3_s_50_ILECA2031-25,ILECA2031-25,r_1.3_s_50_merge,>ILECA2031-25_r_1.3_s_50_ILECA2031-25_merge,1869636,QUQ05862.1,genus:Coleophora,,124,null,1530,3.0,17.0,8.47,8.0,null,null,null,null,null,null
