Machine readable	1acb751e-decc-405a-095a-4aa568f70b9a	e2b64f4a-3173-4f62-ef89-a9c9dd39694e	abfab98b-8018-4089-b600-63ff50eaef9d	868402c1-7656-4c80-410e-2ee7aaac320f	633598be-b90d-4822-db50-7d2b3506ffaf	757c2dae-9ec4-495f-3c97-5721a303d57a	b8dbe898-da6d-45fc-5932-06b052b148c2	933091ef-9a5f-4427-266a-3b6cc49f3d8e	008b513e-a177-4c33-9a8d-1ccc7af6488a	175110ee-6387-47a6-1a57-e73e729008b2	cb92e6c4-832a-49d3-2ea2-6ed59184898a	1b4b97a4-7d0b-4c13-0ca5-67602587bbf7	3a4ad494-80b2-45b2-7542-2b797e629d33	a6dac5f0-344f-431b-245a-5790783e4bff	91f55312-a619-438a-9dc9-ac11df5367e5	03adeac6-71b9-4151-1fff-8c5c22f7208b	83955fab-37ec-43dd-ba05-9a2be883151a	f104d132-daac-4bea-de08-2554f093b1e1	a10a9e54-a2a5-4d5a-e8c9-59e26c02b456	75bddbc3-ce14-4698-3a68-1c7cd02105f9	34e0272b-ac9e-44c8-907f-5c6a197c6918	addc8f1a-5a10-4916-a826-342a22cf947e	103fd6f1-00fb-4caa-0ff1-612d6e5a197b	167a9bf2-bf94-4b84-beae-503b7b9cccb0	9458471e-52ac-4f44-fdbf-5978e184ef7e	6de15a7f-26d7-423e-7d16-33121e65dd3e	b6bd16e5-7d43-42b5-6108-20f8001aec02	9ab06179-dccb-44bb-3a0c-c1c6943c97f1	02e39334-1975-4707-1ab0-c3bd631e104f	03fe4c37-129e-4dac-e052-1dcb1ee798c6	79a413a2-a734-44d4-d4a1-aa9f58b28c5c	95ab4414-2df3-4877-fecf-d68ca6f4a972	b8f19cfc-456b-4985-ffaf-c6e1e9687347	6f9eb33a-c517-4196-4c6d-21cfcb08b33e	c2cb5935-0c92-45d7-adb2-f8d6529de0a1	f9b6ddee-f39b-4a6e-418b-45fa16ab902d	74e0c82d-9cce-4000-9047-43d8f5c14671	6db6ccba-bff6-4b47-53dd-bbedf9e4eca2
SampleID	Plate ID	ENA Accession	Well Position	Institution ID	Additional ID	Type of Additional ID	Identifier ORCID	Identification Date	Type Status	Collection End Date	DNA Biobank ID	2D Barcode ID DNA	DNA Biobank Name	Preparation Type DNA	Extraction Method	Extraction Date	Extraction Lab	DNA Concentration	Quantification Method	Quantification Date	DNA Volume	GGBN Upload Mechanism	Permits	Tissue Biobanked	Tissue Biobank ID	2D Barcode ID Tissue	Tissue Biobank Name	Biobanked Tissue Type	Preparation Type Tissue	Preservation History	Relation To Voucher	ENA_BIOSAMPLE_ID	ENA_PROJECT_ID	Voucher preservation	Lab status	NCBI Tax ID	ENA Sample Accession	Sample Alias
ZMA.INS.5145170	BGE_00188		G01					2005		08-Dec-1974																								Dry				
ZMA.INS.5145171	BGE_00188		G02																															Dry				
ZMA.INS.5145172	BGE_00188		G03																															Dry				
BGE_00501_A09	BGE_00501		A09				0000-0001-6366-2827																No permits needed	No										Ethanol				
RMNH.INS.1646852	BGE_00188		G10																															Dry				
RMNH.INS.1531985	BGE_00184		C09																															Dry				RMNH.INS.1531985
BGE_00501_B05	BGE_00501		B05				0000-0001-6366-2827																No permits needed	No										Ethanol				
BGE_00501_B06	BGE_00501		B06				0000-0001-6366-2827																No permits needed	No										Ethanol				
ZMA.INS.5145179	BGE_00188		H05																															Dry				
ZMA.INS.5145180	BGE_00188		H07																															Dry				
BGE_00501_C01	BGE_00501		C01				0000-0001-6366-2827																No permits needed	No										Ethanol				
BGE_00146_D10																																						
BGE_00431_A01	BGE_00431		A01																				Yes											Dry				BGE_00431_A01
BGE_00431_A03	BGE_00431		A03																				Yes											Dry				BGE_00431_A03
BGE_00431_A04	BGE_00431		A04																				Yes											Dry				BGE_00431_A04
BGE_00431_A05	BGE_00431		A05																				Yes											Dry				BGE_00431_A05
BGE_00431_A06	BGE_00431		A06					1999															Yes											Dry				BGE_00431_A06
BGE_00431_A07	BGE_00431		A07					1998															Yes											Dry				BGE_00431_A07
BGE_00431_A08	BGE_00431		A08					2000															Yes											Dry				BGE_00431_A08
