,Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med,fasta_header
0,BGENL3022-24_r_1_s_100_BGENL3022-24,BGENL3022-24,11587165,1630,507,1557,0.0,172.0,107.94026974951832,116.0,>BGENL3022-24_r_1_s_100_BGENL3022-24
1,BGENL3024-24_r_1.5_s_100_BGENL3024-24,BGENL3024-24,7923418,896,88,1557,0.0,163.0,58.18111753371869,55.0,>BGENL3024-24_r_1.5_s_100_BGENL3024-24
2,BGENL2993-24_r_1.5_s_50_BGENL2993-24,BGENL2993-24,8615127,2758,317,1569,0.0,483.0,151.52963671128106,129.0,>BGENL2993-24_r_1.5_s_50_BGENL2993-24
3,BGENL3021-24_r_1.5_s_50_BGENL3021-24,BGENL3021-24,14357905,1868,168,1554,0.0,557.0,132.7953667953668,6.5,>BGENL3021-24_r_1.5_s_50_BGENL3021-24
4,BGENL3034-24_r_1.3_s_50_BGENL3034-24,BGENL3034-24,9438874,236,168,1554,0.0,54.0,11.625482625482626,11.0,>BGENL3034-24_r_1.3_s_50_BGENL3034-24
5,BGENL2964-24_r_1.3_s_100_BGENL2964-24,BGENL2964-24,4495979,151,1809,1569,0.0,62.0,8.347992351816444,4.0,>BGENL2964-24_r_1.3_s_100_BGENL2964-24
6,BGENL2992-24_r_1.5_s_50_BGENL2992-24,BGENL2992-24,7085993,4753,1212,1569,0.0,733.0,262.5927342256214,256.0,>BGENL2992-24_r_1.5_s_50_BGENL2992-24
7,BGENL3039-24_r_1.3_s_50_BGENL3039-24,BGENL3039-24,8664218,112034,528,1557,0.0,11099.0,7237.462427745665,7682.0,>BGENL3039-24_r_1.3_s_50_BGENL3039-24
8,BGENL3017-24_r_1.5_s_100_BGENL3017-24,BGENL3017-24,11977080,2482,3457,1545,0.0,306.0,238.2563106796117,264.0,>BGENL3017-24_r_1.5_s_100_BGENL3017-24
9,BGENL2990-24_r_1_s_50_BGENL2990-24,BGENL2990-24,11362291,4520,2013,1569,0.0,534.0,365.1663479923518,378.0,>BGENL2990-24_r_1_s_50_BGENL2990-24
10,BGENL2991-24_r_1_s_100_BGENL2991-24,BGENL2991-24,9120202,19122,423,1569,0.0,2206.0,1707.413001912046,1803.0,>BGENL2991-24_r_1_s_100_BGENL2991-24
11,BGENL3014-24_r_1.5_s_50_BGENL3014-24,BGENL3014-24,11089298,3551,8,1545,0.0,587.0,336.88155339805826,384.0,>BGENL3014-24_r_1.5_s_50_BGENL3014-24
12,BGENL3011-24_r_1.3_s_50_BGENL3011-24,BGENL3011-24,8519354,7244,470,1569,0.0,742.0,516.5564053537285,538.0,>BGENL3011-24_r_1.3_s_50_BGENL3011-24
13,BGENL3029-24_r_1.3_s_100_BGENL3029-24,BGENL3029-24,6889479,151,21,1554,0.0,28.0,9.214285714285714,9.0,>BGENL3029-24_r_1.3_s_100_BGENL3029-24
14,BGENL2960-24_r_1.5_s_50_BGENL2960-24,BGENL2960-24,11450259,642148,212513,1569,0.0,89810.0,48033.5965583174,56959.0,>BGENL2960-24_r_1.5_s_50_BGENL2960-24
15,BGENL3001-24_r_1_s_50_BGENL3001-24,BGENL3001-24,2669985,824,610,1569,0.0,88.0,41.26003824091778,41.0,>BGENL3001-24_r_1_s_50_BGENL3001-24
16,BGENL3006-24_r_1.5_s_100_BGENL3006-24,BGENL3006-24,7109238,9185,238,1569,0.0,1302.0,629.2581261950287,691.0,>BGENL3006-24_r_1.5_s_100_BGENL3006-24
17,BGENL2980-24_r_1_s_50_BGENL2980-24,BGENL2980-24,8784436,10781,5451,1569,0.0,1050.0,729.8470363288719,750.0,>BGENL2980-24_r_1_s_50_BGENL2980-24
18,BGENL3012-24_r_1.5_s_50_BGENL3012-24,BGENL3012-24,21349760,18002,80,1545,1171.0,2032.0,1669.598058252427,1701.0,>BGENL3012-24_r_1.5_s_50_BGENL3012-24
19,BGENL2978-24_r_1_s_100_BGENL2978-24,BGENL2978-24,5092830,1487,639,1569,0.0,185.0,88.48948374760994,87.0,>BGENL2978-24_r_1_s_100_BGENL2978-24
20,BGENL3031-24_r_1_s_50_BGENL3031-24,BGENL3031-24,9454471,29080,13463,1554,0.0,4422.0,2090.8185328185327,3030.5,>BGENL3031-24_r_1_s_50_BGENL3031-24
21,BGENL2977-24_r_1.3_s_100_BGENL2977-24,BGENL2977-24,12253666,19013,139,1569,0.0,3016.0,1869.0305927342256,1927.0,>BGENL2977-24_r_1.3_s_100_BGENL2977-24
22,BGENL3031-24_r_1.5_s_50_BGENL3031-24,BGENL3031-24,9454471,16140,13463,1554,0.0,3940.0,1065.6872586872587,77.5,>BGENL3031-24_r_1.5_s_50_BGENL3031-24
23,BGENL3017-24_r_1.3_s_100_BGENL3017-24,BGENL3017-24,11977080,2639,3457,1545,0.0,308.0,251.31456310679613,270.0,>BGENL3017-24_r_1.3_s_100_BGENL3017-24
24,BGENL2988-24_r_1.5_s_50_BGENL2988-24,BGENL2988-24,1977549,1368,1027,1569,0.0,273.0,79.60229445506693,78.0,>BGENL2988-24_r_1.5_s_50_BGENL2988-24
25,BGENL2961-24_r_1.5_s_50_BGENL2961-24,BGENL2961-24,7045015,634,1207,1569,0.0,77.0,28.04780114722753,24.0,>BGENL2961-24_r_1.5_s_50_BGENL2961-24
26,BGENL3034-24_r_1_s_100_BGENL3034-24,BGENL3034-24,9438874,179,168,1554,0.0,58.0,12.065637065637066,8.0,>BGENL3034-24_r_1_s_100_BGENL3034-24
27,BGENL2961-24_r_1_s_50_BGENL2961-24,BGENL2961-24,7045015,1162,1207,1569,0.0,231.0,65.4282982791587,60.0,>BGENL2961-24_r_1_s_50_BGENL2961-24
28,BGENL3014-24_r_1.5_s_100_BGENL3014-24,BGENL3014-24,11089298,3489,8,1545,0.0,587.0,334.9106796116505,380.0,>BGENL3014-24_r_1.5_s_100_BGENL3014-24
29,BGENL3035-24_r_1_s_100_BGENL3035-24,BGENL3035-24,15706106,2253,399,1554,0.0,413.0,201.76833976833976,296.5,>BGENL3035-24_r_1_s_100_BGENL3035-24
30,BGENL2987-24_r_1.5_s_100_BGENL2987-24,BGENL2987-24,1531429,648,292,1569,0.0,148.0,38.53537284894838,26.0,>BGENL2987-24_r_1.5_s_100_BGENL2987-24
31,BGENL3003-24_r_1.3_s_100_BGENL3003-24,BGENL3003-24,1069630,17,263,1569,0.0,9.0,1.254302103250478,0.0,>BGENL3003-24_r_1.3_s_100_BGENL3003-24
32,BGENL3027-24_r_1.3_s_100_BGENL3027-24,BGENL3027-24,10252323,1079,546,1554,0.0,180.0,70.2104247104247,84.5,>BGENL3027-24_r_1.3_s_100_BGENL3027-24
33,BGENL3010-24_r_1.3_s_50_BGENL3010-24,BGENL3010-24,1938149,3384,1838,1569,0.0,352.0,174.8355640535373,165.0,>BGENL3010-24_r_1.3_s_50_BGENL3010-24
