ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s	fcleaner	merge	n_reads_in	n_reads_aligned	n_reads_skipped	ref_length	cov_min	cov_max	cov_avg	cov_med	inst	validation_steps	assembly_params
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1046-24_r_1_s_50	Bruchidius bimaculatus	0	UNIFI1046-24	1	50	False	False	6951512	17289	1642	1542	454.0	2044.0	1050.8618677042803	1072.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1046-24_r_1_s_100	Bruchidius bimaculatus	0	UNIFI1046-24	1	100	False	False	6951512	14388	1642	1542	220.0	1992.0	956.9961089494163	985.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1046-24_r_1.3_s_50	Bruchidius bimaculatus	0	UNIFI1046-24	1.3	50	False	False	6951512	16531	1642	1542	440.0	1929.0	996.7315175097276	1011.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1046-24_r_1.3_s_100	Bruchidius bimaculatus	0	UNIFI1046-24	1.3	100	False	False	6951512	13899	1642	1542	220.0	1891.0	912.7256809338521	921.5	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1046-24_r_1.5_s_50	Bruchidius bimaculatus	0	UNIFI1046-24	1.5	50	False	False	6951512	15782	1642	1542	437.0	1922.0	957.2198443579766	960.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1046-24_r_1.5_s_100	Bruchidius bimaculatus	0	UNIFI1046-24	1.5	100	False	False	6951512	13478	1642	1542	217.0	1865.0	883.6692607003891	881.5	Naturalis Biodiversity Center	1	6
13	47	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	577	1533	Chrysomelidae	UNIFI1047-24_r_1_s_50	Bruchidius bimaculatus	0	UNIFI1047-24	1	50	False	False	5945963	1221	1679	1542	0.0	301.0	84.0272373540856	71.0	Naturalis Biodiversity Center	1	6
26	51	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	569	1476	Chrysomelidae,Calocidae,Apataniidae	UNIFI1047-24_r_1_s_100	Bruchidius bimaculatus	0	UNIFI1047-24	1	100	False	False	5945963	716	1679	1542	0.0	183.0	66.94747081712062	55.0	Naturalis Biodiversity Center	1	6
1	2	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	603	1491	Chrysomelidae	UNIFI1047-24_r_1.3_s_50	Bruchidius bimaculatus	0	UNIFI1047-24	1.3	50	False	False	5945963	508	1679	1542	0.0	75.0	24.509727626459146	20.0	Naturalis Biodiversity Center	1	6
0	6	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	560	1347	Chrysomelidae	UNIFI1047-24_r_1.3_s_100	Bruchidius bimaculatus	0	UNIFI1047-24	1.3	100	False	False	5945963	242	1679	1542	0.0	64.0	16.33852140077821	9.0	Naturalis Biodiversity Center	1	6
3	4	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	585	1473	Chrysomelidae	UNIFI1047-24_r_1.5_s_50	Bruchidius bimaculatus	0	UNIFI1047-24	1.5	50	False	False	5945963	354	1679	1542	0.0	64.0	16.06614785992218	9.5	Naturalis Biodiversity Center	1	6
4	4	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	560	1338	Chrysomelidae	UNIFI1047-24_r_1.5_s_100	Bruchidius bimaculatus	0	UNIFI1047-24	1.5	100	False	False	5945963	170	1679	1542	0.0	41.0	10.108949416342412	5.0	Naturalis Biodiversity Center	1	6
33	54	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	655	1542	Chrysomelidae	UNIFI1048-24_r_1_s_50	Bruchidius caninus	0	UNIFI1048-24	1	50	False	False	6285648	1319	1475	1542	7.0	255.0	85.97081712062257	72.0	Naturalis Biodiversity Center	1	6
35	53	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1533	Chrysomelidae	UNIFI1048-24_r_1_s_100	Bruchidius caninus	0	UNIFI1048-24	1	100	False	False	6285648	890	1475	1542	0.0	208.0	71.39688715953308	63.5	Naturalis Biodiversity Center	1	6
9	19	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	654	1542	Nitidulidae,Tenebrionidae,Chrysomelidae	UNIFI1048-24_r_1.3_s_50	Bruchidius caninus	0	UNIFI1048-24	1.3	50	False	False	6285648	791	1475	1542	5.0	187.0	43.990272373540854	26.5	Naturalis Biodiversity Center	1	6
8	8	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1533	Tenebrionidae,Chrysomelidae	UNIFI1048-24_r_1.3_s_100	Bruchidius caninus	0	UNIFI1048-24	1.3	100	False	False	6285648	552	1475	1542	0.0	159.0	36.715953307392994	20.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	649	1536	Chrysomelidae	UNIFI1048-24_r_1.5_s_50	Bruchidius caninus	0	UNIFI1048-24	1.5	50	False	False	6285648	628	1475	1542	0.0	157.0	33.54280155642024	21.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	651	1527	Chrysomelidae	UNIFI1048-24_r_1.5_s_100	Bruchidius caninus	0	UNIFI1048-24	1.5	100	False	False	6285648	460	1475	1542	0.0	130.0	28.330739299610894	19.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	657	1539	Chrysomelidae	UNIFI1049-24_r_1_s_50	Bruchidius caninus	0	UNIFI1049-24	1	50	False	False	8913743	4592	641	1542	0.0	695.0	320.73929961089493	242.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	657	1539	Chrysomelidae	UNIFI1049-24_r_1_s_100	Bruchidius caninus	0	UNIFI1049-24	1	100	False	False	8913743	3958	641	1542	0.0	659.0	301.27821011673154	217.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	657	1539	Chrysomelidae	UNIFI1049-24_r_1.3_s_50	Bruchidius caninus	0	UNIFI1049-24	1.3	50	False	False	8913743	4467	641	1542	0.0	674.0	314.1284046692607	238.5	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	657	1539	Chrysomelidae	UNIFI1049-24_r_1.3_s_100	Bruchidius caninus	0	UNIFI1049-24	1.3	100	False	False	8913743	3922	641	1542	0.0	657.0	297.72762645914395	211.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	657	1539	Chrysomelidae	UNIFI1049-24_r_1.5_s_50	Bruchidius caninus	0	UNIFI1049-24	1.5	50	False	False	8913743	4327	641	1542	0.0	630.0	307.13229571984436	224.5	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	657	1539	Chrysomelidae	UNIFI1049-24_r_1.5_s_100	Bruchidius caninus	0	UNIFI1049-24	1.5	100	False	False	8913743	3843	641	1542	0.0	623.0	292.7373540856031	209.5	Naturalis Biodiversity Center	1	6
0	5	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae,Cerambycidae	UNIFI1050-24_r_1_s_50	Bruchidius foveolatus	0	UNIFI1050-24	1	50	False	False	9064837	9568	3208	1542	84.0	1332.0	509.34824902723733	371.5	Naturalis Biodiversity Center	1	6
2	9	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1050-24_r_1_s_100	Bruchidius foveolatus	0	UNIFI1050-24	1	100	False	False	9064837	6854	3208	1542	36.0	1075.0	419.84435797665367	300.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1050-24_r_1.3_s_50	Bruchidius foveolatus	0	UNIFI1050-24	1.3	50	False	False	9064837	8557	3208	1542	84.0	1300.0	438.9591439688716	315.0	Naturalis Biodiversity Center	1	6
0	1	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1050-24_r_1.3_s_100	Bruchidius foveolatus	0	UNIFI1050-24	1.3	100	False	False	9064837	6299	3208	1542	36.0	1013.0	367.63813229571986	255.5	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1050-24_r_1.5_s_50	Bruchidius foveolatus	0	UNIFI1050-24	1.5	50	False	False	9064837	8042	3208	1542	84.0	1269.0	416.0058365758755	295.5	Naturalis Biodiversity Center	1	6
0	1	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1050-24_r_1.5_s_100	Bruchidius foveolatus	0	UNIFI1050-24	1.5	100	False	False	9064837	6110	3208	1542	36.0	1006.0	354.7801556420234	245.0	Naturalis Biodiversity Center	1	6
4	22	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1051-24_r_1_s_50	Bruchidius foveolatus	0	UNIFI1051-24	1	50	False	False	4456089	3456	2081	1542	48.0	488.0	177.4455252918288	156.0	Naturalis Biodiversity Center	1	6
0	15	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1051-24_r_1_s_100	Bruchidius foveolatus	0	UNIFI1051-24	1	100	False	False	4456089	2245	2081	1542	21.0	321.0	138.39105058365757	127.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1051-24_r_1.3_s_50	Bruchidius foveolatus	0	UNIFI1051-24	1.3	50	False	False	4456089	2813	2081	1542	48.0	398.0	135.47470817120623	111.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1051-24_r_1.3_s_100	Bruchidius foveolatus	0	UNIFI1051-24	1.3	100	False	False	4456089	1923	2081	1542	21.0	283.0	107.5272373540856	89.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1051-24_r_1.5_s_50	Bruchidius foveolatus	0	UNIFI1051-24	1.5	50	False	False	4456089	2622	2081	1542	45.0	371.0	126.46303501945525	108.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1051-24_r_1.5_s_100	Bruchidius foveolatus	0	UNIFI1051-24	1.5	100	False	False	4456089	1856	2081	1542	21.0	274.0	102.49027237354086	87.0	Naturalis Biodiversity Center	1	6
20	57	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1052-24_r_1_s_50	Bruchidius foveolatus	0	UNIFI1052-24	1	50	False	False	4960022	2112	1625	1542	22.0	268.0	127.74708171206225	120.5	Naturalis Biodiversity Center	1	6
13	36	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Scarabaeidae,Chrysomelidae	UNIFI1052-24_r_1_s_100	Bruchidius foveolatus	0	UNIFI1052-24	1	100	False	False	4960022	1441	1625	1542	6.0	210.0	104.41245136186771	97.0	Naturalis Biodiversity Center	1	6
0	1	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1052-24_r_1.3_s_50	Bruchidius foveolatus	0	UNIFI1052-24	1.3	50	False	False	4960022	1468	1625	1542	19.0	241.0	75.54863813229572	64.0	Naturalis Biodiversity Center	1	6
1	1	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1052-24_r_1.3_s_100	Bruchidius foveolatus	0	UNIFI1052-24	1.3	100	False	False	4960022	1017	1625	1542	6.0	190.0	60.990272373540854	47.0	Naturalis Biodiversity Center	1	6
0	1	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1052-24_r_1.5_s_50	Bruchidius foveolatus	0	UNIFI1052-24	1.5	50	False	False	4960022	1345	1625	1542	9.0	223.0	66.47081712062257	57.5	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1052-24_r_1.5_s_100	Bruchidius foveolatus	0	UNIFI1052-24	1.5	100	False	False	4960022	938	1625	1542	6.0	175.0	53.31517509727627	45.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	168	459	Hydraenidae,Cucujidae,Chrysomelidae	UNIFI1053-24_r_1_s_50	Bruchidius lutescens	0	UNIFI1053-24	1	50	False	False	46354	7	7	1542	0.0	4.0	0.4961089494163424	0.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	163	366	Hydraenidae,Cucujidae,Chrysomelidae	UNIFI1053-24_r_1_s_100	Bruchidius lutescens	0	UNIFI1053-24	1	100	False	False	46354	4	7	1542	0.0	3.0	0.4027237354085603	0.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	115	189	Hydraenidae,Cucujidae,Chrysomelidae	UNIFI1053-24_r_1.3_s_50	Bruchidius lutescens	1	UNIFI1053-24	1.3	50	False	False	46354	4	7	1542	0.0	4.0	0.321011673151751	0.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	115	189	Hydraenidae,Cucujidae,Chrysomelidae	UNIFI1053-24_r_1.3_s_100	Bruchidius lutescens	1	UNIFI1053-24	1.3	100	False	False	46354	3	7	1542	0.0	3.0	0.28793774319066145	0.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	115	189	Hydraenidae,Cucujidae,Chrysomelidae	UNIFI1053-24_r_1.5_s_50	Bruchidius lutescens	1	UNIFI1053-24	1.5	50	False	False	46354	3	7	1542	0.0	3.0	0.28793774319066145	0.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	115	189	Hydraenidae,Cucujidae,Chrysomelidae	UNIFI1053-24_r_1.5_s_100	Bruchidius lutescens	1	UNIFI1053-24	1.5	100	False	False	46354	3	7	1542	0.0	3.0	0.28793774319066145	0.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1054-24_r_1_s_50	Bruchidius lutescens	0	UNIFI1054-24	1	50	False	False	7251680	20132	1548	1542	430.0	1979.0	1046.842412451362	985.5	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1054-24_r_1_s_100	Bruchidius lutescens	0	UNIFI1054-24	1	100	False	False	7251680	14593	1548	1542	288.0	1787.0	870.2451361867704	788.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1054-24_r_1.3_s_50	Bruchidius lutescens	0	UNIFI1054-24	1.3	50	False	False	7251680	19380	1548	1542	362.0	1878.0	990.1731517509728	919.5	Naturalis Biodiversity Center	1	6
0	0	data/BGE00432_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Chrysomelidae	BLAST	family	COI-5P	656	1542	Chrysomelidae	UNIFI1054-24_r_1.3_s_100	Bruchidius lutescens	0	UNIFI1054-24	1.3	100	False	False	7251680	14173	1548	1542	288.0	1683.0	825.7821011673152	774.5	Naturalis Biodiversity Center	1	6
