ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s	fcleaner	merge	n_reads_in	n_reads_aligned	n_reads_skipped	ref_length	cov_min	cov_max	cov_avg	cov_med
10	34	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	656	1530	Muscidae	BGENL666-24_r_1_s_50	Coenosia antennata	0	BGENL666-24	1	50	False	False	11219780	1364	197	1530	6.0	93.0	54.707843137254905	55.0
20	58	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	656	1530	Agromyzidae,Muscidae,Calliphoridae	BGENL666-24_r_1_s_100	Coenosia antennata	0	BGENL666-24	1	100	False	False	11219780	543	197	1530	4.0	61.0	29.690196078431374	29.0
0	3	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	657	1530	Muscidae	BGENL666-24_r_1.3_s_50	Coenosia antennata	0	BGENL666-24	1.3	50	False	False	11219780	1186	197	1530	6.0	78.0	45.16274509803922	46.0
0	2	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	657	1530	Muscidae	BGENL666-24_r_1.3_s_100	Coenosia antennata	0	BGENL666-24	1.3	100	False	False	11219780	477	197	1530	2.0	50.0	24.20392156862745	24.0
0	0	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	657	1530	Muscidae	BGENL666-24_r_1.5_s_50	Coenosia antennata	0	BGENL666-24	1.5	50	False	False	11219780	1027	197	1530	6.0	64.0	38.73725490196078	40.0
0	0	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	657	1530	Muscidae	BGENL666-24_r_1.5_s_100	Coenosia antennata	0	BGENL666-24	1.5	100	False	False	11219780	442	197	1530	2.0	46.0	21.745098039215687	21.0
15	56	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	648	1422	Staphylinidae,Fanniidae,Sarcophagidae,Rhiniidae	BGENL667-24_r_1_s_50	Coenosia antennata	0	BGENL667-24	1	50	False	False	6926916	310	252	1530	0.0	65.0	16.978431372549018	12.0
5	55	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	225	1008	Acrididae	BGENL667-24_r_1_s_100	Coenosia antennata	0	BGENL667-24	1	100	False	False	6926916	155	252	1530	0.0	54.0	12.329411764705883	5.0
0	5	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	325	1104	Muscidae	BGENL667-24_r_1.3_s_50	Coenosia antennata	0	BGENL667-24	1.3	50	False	False	6926916	160	252	1530	0.0	38.0	7.078431372549019	4.0
0	3	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	106	519	Acrididae	BGENL667-24_r_1.3_s_100	Coenosia antennata	0	BGENL667-24	1.3	100	False	False	6926916	60	252	1530	0.0	36.0	4.2823529411764705	0.0
0	2	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	280	867	Muscidae	BGENL667-24_r_1.5_s_50	Coenosia antennata	16	BGENL667-24	1.5	50	False	False	6926916	108	252	1530	0.0	25.0	4.029411764705882	2.0
0	0	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Muscidae	BLAST	family	COI-5P	106	228		BGENL667-24_r_1.5_s_100	Coenosia antennata	0	BGENL667-24	1.5	100	False	False	6926916	28	252	1530	0.0	14.0	1.7823529411764707	0.0
19	28	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	454	1065	Amphipsocidae,Ceratopogonidae	BGENL668-24_r_1_s_50	Syntormon fuscipes	0	BGENL668-24	1	50	False	False	714900	87	79	1533	0.0	31.0	5.203522504892368	4.0
22	23	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	420	975	Reduviidae,Heteroceridae,Ceratopogonidae	BGENL668-24_r_1_s_100	Syntormon fuscipes	0	BGENL668-24	1	100	False	False	714900	53	79	1533	0.0	18.0	4.215264187866928	3.0
21	21	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	346	681	Panorpidae	BGENL668-24_r_1.3_s_50	Syntormon fuscipes	0	BGENL668-24	1.3	50	False	False	714900	57	79	1533	0.0	22.0	3.0293542074363993	0.0
16	16	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	303	576	Acrididae,Staphylinidae,Elateridae,Ceratopogonidae	BGENL668-24_r_1.3_s_100	Syntormon fuscipes	0	BGENL668-24	1.3	100	False	False	714900	29	79	1533	0.0	10.0	2.2407045009784734	0.0
14	15	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	333	615	Acrididae,Buprestidae,Tenebrionidae	BGENL668-24_r_1.5_s_50	Syntormon fuscipes	0	BGENL668-24	1.5	50	False	False	714900	38	79	1533	0.0	20.0	2.1780821917808217	0.0
12	12	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	303	576	Acrididae,Staphylinidae,Elateridae	BGENL668-24_r_1.5_s_100	Syntormon fuscipes	0	BGENL668-24	1.5	100	False	False	714900	24	79	1533	0.0	10.0	1.7592954990215264	0.0
23	35	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	317	798	Empididae,Syrphidae,Chloropidae,Oecophoridae,Xyloryctidae	BGENL669-24_r_1_s_50	Syntormon fuscipes	0	BGENL669-24	1	50	False	False	514176	57	50	1533	0.0	26.0	4.818003913894325	1.0
23	50	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	317	798	Empididae,Syrphidae,Chloropidae,Oecophoridae,Xyloryctidae	BGENL669-24_r_1_s_100	Syntormon fuscipes	0	BGENL669-24	1	100	False	False	514176	50	50	1533	0.0	26.0	4.542074363992172	1.0
17	17	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	272	345	Trigonidiidae,Formicidae,Tortricidae,Nymphalidae,Hesperiidae	BGENL669-24_r_1.3_s_50	Syntormon fuscipes	0	BGENL669-24	1.3	50	False	False	514176	31	50	1533	0.0	17.0	2.7142857142857144	0.0
15	15	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	273	345	Trigonidiidae,Coccinellidae,Formicidae,Tortricidae,Nymphalidae,Crambidae,Hesperiidae	BGENL669-24_r_1.3_s_100	Syntormon fuscipes	0	BGENL669-24	1.3	100	False	False	514176	28	50	1533	0.0	14.0	2.649706457925636	0.0
10	10	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	273	345	Anthocoridae,Staphylinidae,Bothrideridae,Formicidae,Tortricidae,Nymphalidae,Crambidae,Hesperiidae	BGENL669-24_r_1.5_s_50	Syntormon fuscipes	0	BGENL669-24	1.5	50	False	False	514176	23	50	1533	0.0	15.0	1.9432485322896282	0.0
7	7	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Dolichopodidae	BLAST	family	COI-5P	273	345	Anthocoridae,Staphylinidae,Coccinellidae,Bothrideridae,Endomychidae,Nymphalidae,Crambidae,Hesperiidae	BGENL669-24_r_1.5_s_100	Syntormon fuscipes	0	BGENL669-24	1.5	100	False	False	514176	20	50	1533	0.0	12.0	1.8786692759295498	0.0
48	85	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	656	1440	Tettigoniidae,Hybotidae,Tabanidae,Vespidae	BGENL670-24_r_1_s_50	Tachydromia connexa	0	BGENL670-24	1	50	False	False	4915418	771	214	1503	0.0	100.0	34.8562874251497	32.0
30	73	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	603	1356	Tettigoniidae,Chironomidae,Empididae,Hybotidae,Ulidiidae,Vespidae	BGENL670-24_r_1_s_100	Tachydromia connexa	0	BGENL670-24	1	100	False	False	4915418	323	214	1503	0.0	71.0	19.790419161676645	17.0
4	12	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	611	1383	Hybotidae,Drosophilidae,Agromyzidae,Tachinidae	BGENL670-24_r_1.3_s_50	Tachydromia connexa	0	BGENL670-24	1.3	50	False	False	4915418	491	214	1503	0.0	59.0	19.942115768463072	20.0
0	7	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	486	1212	Tettigoniidae,Hybotidae,Tephritidae,Sarcophagidae,Vespidae	BGENL670-24_r_1.3_s_100	Tachydromia connexa	1	BGENL670-24	1.3	100	False	False	4915418	214	214	1503	0.0	49.0	11.295409181636726	8.0
2	7	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	611	1383	Hybotidae,Drosophilidae,Agromyzidae,Calliphoridae,Tachinidae	BGENL670-24_r_1.5_s_50	Tachydromia connexa	1	BGENL670-24	1.5	50	False	False	4915418	449	214	1503	0.0	45.0	17.79640718562874	17.0
0	1	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	486	1206	Tettigoniidae,Hybotidae,Agromyzidae,Tephritidae,Ulidiidae,Tachinidae,Vespidae	BGENL670-24_r_1.5_s_100	Tachydromia connexa	1	BGENL670-24	1.5	100	False	False	4915418	197	214	1503	0.0	41.0	9.884231536926148	8.0
76	118	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	609	1392		BGENL671-24_r_1_s_50	Tachydromia connexa	0	BGENL671-24	1	50	False	False	3018671	323	213	1503	0.0	57.0	20.087824351297407	18.0
83	120	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	540	1224	Hormaphididae	BGENL671-24_r_1_s_100	Tachydromia connexa	0	BGENL671-24	1	100	False	False	3018671	175	213	1503	0.0	39.0	14.5249500998004	14.0
34	88	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	489	960	Carabidae,Chrysopidae	BGENL671-24_r_1.3_s_50	Tachydromia connexa	0	BGENL671-24	1.3	50	False	False	3018671	132	213	1503	0.0	38.0	8.3313373253493	3.0
33	93	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	489	885	Carabidae,Chrysopidae	BGENL671-24_r_1.3_s_100	Tachydromia connexa	0	BGENL671-24	1.3	100	False	False	3018671	78	213	1503	0.0	28.0	6.530938123752495	2.0
15	15	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	287	618	Carabidae,Mycetophilidae,Chironomidae,Fergusoninidae	BGENL671-24_r_1.5_s_50	Tachydromia connexa	0	BGENL671-24	1.5	50	False	False	3018671	58	213	1503	0.0	27.0	3.740518962075848	0.0
15	15	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Hybotidae	BLAST	family	COI-5P	284	504	Carabidae,Scarabaeidae,Cerylonidae,Discolomatidae,Mycetophilidae,Chironomidae,Chloropidae,Encyrtidae	BGENL671-24_r_1.5_s_100	Tachydromia connexa	0	BGENL671-24	1.5	100	False	False	3018671	30	213	1503	0.0	23.0	2.820359281437126	0.0
0	0	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Lauxaniidae	BLAST	family	COI-5P	657	1536	Drosophilidae,Lauxaniidae,Sepsidae,Sphaeroceridae	BGENL672-24_r_1_s_50	Calliopum geniculatum	0	BGENL672-24	1	50	False	False	14955506	4007	366	1536	4.0	324.0	252.298828125	249.0
0	0	data/BGE00176_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Lauxaniidae	BLAST	family	COI-5P	657	1536	Drosophilidae,Lauxaniidae,Sepsidae,Sphaeroceridae	BGENL672-24_r_1_s_100	Calliopum geniculatum	0	BGENL672-24	1	100	False	False	14955506	3288	366	1536	4.0	294.0	231.05078125	229.5
