barcode_validator TSV header	Compulsory	Definition
ambig_basecount	true	Number of ambiguous (N) bases within the extracted barcode region
ambig_full_basecount	true	Number of ambiguous bases across the full barcode consensus sequence
ambig_original	false	Number of ambiguous bases in full the barcode consensus sequence prior to barcode region extraction
cleaning_ambig_bases	false	Number of ambiguous bases in the post-cleaned barcode consensus sequence
cleaning_cov_percent	false	Percentage coverage of pseudo-reference used for read alignment and barcode extraction in the post-cleaning consensus sequence
cleaning_removed_at	false	Number of aligned reads removed due to AT content filtering in BGEE pipeline
cleaning_removed_human	false	Number of aligned reads removed due to human COI similarity in BGEE pipeline
cleaning_removed_outlier	false	Number of aligned reads flagged as statistical outliers and removed in BGEE pipeline
cov_avg	false	Average read coverage depth of pseudo-reference used for consensus sequence generation
cov_max	false	Maximum read coverage depth at a single position
cov_med	false	Median read coverage depth across barcode consensus sequence
cov_min	false	Minimum read coverage depth at a single position
dataset	true	Name of input multi-FASTA file that was validated
error	true	Error message during barcode validation (if present)
fasta_header	false	Sequence header parsed from input FASTA file
group_id	true	Identifier for a group of sequences (e.g. from the same sample), usually BOLD Process ID
identification	true	Taxonomic identification from input taxonomy at 'identification_rank'
identification_method	true	Taxonomic validation method (e.g. bold/blast)
identification_rank	true	Taxonomic rank to validate molecular taxonomy of consensus sequence to (e.g. family)
marker_code	true	Target barcode (e.g. COI-5P)
mge_params	false	MitoGeneExtractor (MGE) parameter string used for consensus recovery within the BGEE pipeline
n_reads_aligned	false	Number of input reads aligned to the pseudo-reference by MGE and used for generation of the consensus sequence
n_reads_in	false	Number of QC'd/trimmed reads input into MGE
n_reads_skipped	false	Number of input reads omitted from alignment (e.g. due to frame shifts/multiple alignment positions/mismatches/etc.)
nuc_basecount	true	Base count of HMM-extracted barcode region (i.e. 'nuc')
nuc_full_basecount	true	Base count of full consensus sequence
obs_taxon	true	Top taxonomic assignment(s) at the 'identification_rank' returned by the selected 'identification_method'
reading_frame	false	Open reading frame (ORF) of 'sequence'
ref_length	false	Length of pseudo-reference used for generation of the consensus sequence
sequence	false	HMM-extracted barcode region of consensus sequence generated by MGE
sequence_id	true	Consensus sequence unique identifier for the focal sequence from the input `dataset`
species	true	Morphological identification to the lowest available taxonomic rank (e.g. species, often)
stop_codons	true	Number of stop codons identified in 'sequence'
sample_taxid	false	Sample taxonomic ID
ref_accession	false	Reference sequence accession number
ref_rank	false	Taxonomic rank of reference sequence
BOLD_submission	false	BOLD Systems submission identifier
cleaning_removed_reference	false	Number of reads removed due to reference filtering during cleaning
length	false	Sequence length
r	false	MGE parameter r value
s	false	MGE parameter s value
