ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons
3	8	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Atemnidae	BLAST	family	COI-5P	575	1377	Atemnidae	BSCRO001-24_r_1_s_50	Atemnus politus	0
0	7	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Atemnidae	BLAST	family	COI-5P	267	1113	Atemnidae	BSCRO001-24_r_1_s_100	Atemnus politus	0
0	1	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Atemnidae	BLAST	family	COI-5P	479	900	Atemnidae	BSCRO001-24_r_1.3_s_50	Atemnus politus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Atemnidae	BLAST	family	COI-5P	210	501	Atemnidae	BSCRO001-24_r_1.5_s_50	Atemnus politus	0
1	1	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Atemnidae	BLAST	family	COI-5P	560	663	Atemnidae	BSCRO001-24_r_1.3_s_100	Atemnus politus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Atemnidae	BLAST	family	COI-5P	214	381	Atemnidae	BSCRO001-24_r_1.5_s_100	Atemnus politus	0
10	32	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	649	1500	Triophtydeidae,Tetranychidae,Phalangiidae,Cheliferidae,Phrynidae	BSCRO002-24_r_1_s_50	Dactylochelifer falsus	0
2	19	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	650	1497	Triophtydeidae,Tetranychidae,Phalangiidae,Chernetidae,Cheliferidae,Phrynidae	BSCRO002-24_r_1_s_100	Dactylochelifer falsus	0
9	9	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	626	1335	Cheliferidae	BSCRO002-24_r_1.3_s_50	Dactylochelifer falsus	0
3	4	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	627	1335	Cheliferidae	BSCRO002-24_r_1.3_s_100	Dactylochelifer falsus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	487	1101	Lycosidae,Argasidae,Ixodidae,Sabaconidae	BSCRO002-24_r_1.5_s_50	Dactylochelifer falsus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	489	1092	Argasidae,Ixodidae,Sabaconidae	BSCRO002-24_r_1.5_s_100	Dactylochelifer falsus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO003-24_r_1_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO003-24_r_1_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1479	Cheliferidae	BSCRO003-24_r_1.3_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1416	Cheliferidae	BSCRO003-24_r_1.3_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	627	1389	Cheliferidae	BSCRO003-24_r_1.5_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	627	1389	Cheliferidae	BSCRO003-24_r_1.5_s_100	Hysterochelifer cyprius	0
3	29	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	653	1527	Cheliferidae	BSCRO004-24_r_1_s_50	Hysterochelifer cyprius	0
0	24	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO004-24_r_1_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1497	Cheliferidae	BSCRO004-24_r_1.3_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1443	Cheliferidae	BSCRO004-24_r_1.3_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	588	1311	Araneidae,Cheliferidae,Neobisiidae	BSCRO004-24_r_1.5_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	540	1263	Araneidae,Ixodidae,Neobisiidae	BSCRO004-24_r_1.5_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO005-24_r_1_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO005-24_r_1_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1512	Cheliferidae	BSCRO005-24_r_1.3_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1440	Cheliferidae	BSCRO005-24_r_1.3_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	636	1425	Cheliferidae	BSCRO005-24_r_1.5_s_50	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	636	1398	Cheliferidae	BSCRO005-24_r_1.5_s_100	Hysterochelifer cyprius	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO006-24_r_1_s_50	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO006-24_r_1_s_100	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO006-24_r_1.3_s_50	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1509	Cheliferidae	BSCRO006-24_r_1.3_s_100	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1482	Cheliferidae	BSCRO006-24_r_1.5_s_50	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1416	Cheliferidae	BSCRO006-24_r_1.5_s_100	Hysterochelifer meridianus	0
21	23	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	528	1269	Argasidae,Ixodidae,Oppiidae	BSCRO007-24_r_1_s_50	Hysterochelifer meridianus	0
18	20	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	536	1116		BSCRO007-24_r_1_s_100	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	166	885	Ixodidae,Sperchontidae,Halacaridae,Tetranychidae,Oppiidae,Sabaconidae,Phrynidae	BSCRO007-24_r_1.3_s_50	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	155	777	Sperchontidae,Oppiidae,Ceratolasmatidae,Phrynidae	BSCRO007-24_r_1.3_s_100	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	132	390	Argasidae,Ixodidae,Phytoseiidae,Oppiidae,Eremaeidae	BSCRO007-24_r_1.5_s_50	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	131	261		BSCRO007-24_r_1.5_s_100	Hysterochelifer meridianus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Chernetidae,Cheliferidae	BSCRO008-24_r_1_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Chernetidae,Cheliferidae	BSCRO008-24_r_1_s_100	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Chernetidae,Cheliferidae	BSCRO008-24_r_1.3_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Chernetidae,Cheliferidae	BSCRO008-24_r_1.3_s_100	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	651	1476	Chernetidae,Cheliferidae	BSCRO008-24_r_1.5_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	651	1413	Chernetidae,Cheliferidae	BSCRO008-24_r_1.5_s_100	Hysterochelifer tuberculatus	0
5	19	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	653	1527	Cheliferidae	BSCRO009-24_r_1_s_50	Hysterochelifer tuberculatus	0
2	12	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	653	1527	Cheliferidae	BSCRO009-24_r_1_s_100	Hysterochelifer tuberculatus	0
0	2	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Chernetidae,Cheliferidae	BSCRO009-24_r_1.3_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Chernetidae,Cheliferidae	BSCRO009-24_r_1.3_s_100	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	525	1296	Theridiidae,Archaeidae,Ixodidae,Chernetidae	BSCRO009-24_r_1.5_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	510	1251	Theridiidae,Archaeidae,Ixodidae,Chernetidae	BSCRO009-24_r_1.5_s_100	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO010-24_r_1_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO010-24_r_1_s_100	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO010-24_r_1.3_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1527	Cheliferidae	BSCRO010-24_r_1.3_s_100	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	654	1491	Cheliferidae	BSCRO010-24_r_1.5_s_50	Hysterochelifer tuberculatus	0
0	0	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	651	1479	Cheliferidae	BSCRO010-24_r_1.5_s_100	Hysterochelifer tuberculatus	0
3	11	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	599	1470	Tetranychidae,Chernetidae,Cheliferidae,Withiidae	BSCRO011-24_r_1_s_50	Rhacochelifer corcyrensis	0
0	3	data/BGE00501_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cheliferidae	BLAST	family	COI-5P	600	1320	Chernetidae,Atemnidae,Cheliferidae,Withiidae	BSCRO011-24_r_1_s_100	Rhacochelifer corcyrensis	0
