,Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med,fasta_header
0,BSCRO510-24_r_1.3_s_50_BSCRO510-24,BSCRO510-24,2291775,94,231,1536,0.0,30.0,7.25,4.5,>BSCRO510-24_r_1.3_s_50_BSCRO510-24
1,BSCRO519-24_r_1.5_s_100_BSCRO519-24,BSCRO519-24,4826366,571,343,1536,0.0,76.0,46.83984375,49.0,>BSCRO519-24_r_1.5_s_100_BSCRO519-24
2,BSCRO497-24_r_1.3_s_100_BSCRO497-24,BSCRO497-24,8664802,1165,400,1533,0.0,142.0,90.706457925636,94.0,>BSCRO497-24_r_1.3_s_100_BSCRO497-24
3,BSCRO521-24_r_1.3_s_50_BSCRO521-24,BSCRO521-24,7230546,765,4,1536,0.0,84.0,42.021484375,42.0,>BSCRO521-24_r_1.3_s_50_BSCRO521-24
4,BSCRO480-24_r_1_s_50_BSCRO480-24,BSCRO480-24,9604338,655,914,1563,0.0,83.0,35.50863723608445,35.0,>BSCRO480-24_r_1_s_50_BSCRO480-24
5,BSCRO532-24_r_1_s_50_BSCRO532-24,BSCRO532-24,6507404,1670,524,1533,0.0,152.0,113.0371819960861,116.0,>BSCRO532-24_r_1_s_50_BSCRO532-24
6,BSCRO507-24_r_1_s_100_BSCRO507-24,BSCRO507-24,1393646,163,22,1539,1.0,22.0,11.2729044834308,12.0,>BSCRO507-24_r_1_s_100_BSCRO507-24
7,BSCRO513-24_r_1.5_s_100_BSCRO513-24,BSCRO513-24,8977209,1546,140,1536,0.0,191.0,131.4375,143.0,>BSCRO513-24_r_1.5_s_100_BSCRO513-24
8,BSCRO521-24_r_1.3_s_100_BSCRO521-24,BSCRO521-24,7230546,526,4,1536,0.0,73.0,35.146484375,37.0,>BSCRO521-24_r_1.3_s_100_BSCRO521-24
9,BSCRO530-24_r_1.5_s_100_BSCRO530-24,BSCRO530-24,10478083,1153,233,1533,0.0,119.0,73.68884540117416,79.0,>BSCRO530-24_r_1.5_s_100_BSCRO530-24
10,BSCRO534-24_r_1_s_50_BSCRO534-24,BSCRO534-24,8645621,1822,563,1533,0.0,215.0,150.88454011741683,151.0,>BSCRO534-24_r_1_s_50_BSCRO534-24
11,BSCRO505-24_r_1.5_s_50_BSCRO505-24,BSCRO505-24,8323697,1184,137,1539,5.0,173.0,88.30409356725146,89.0,>BSCRO505-24_r_1.5_s_50_BSCRO505-24
12,BSCRO560-24_r_1.3_s_100_BSCRO560-24,BSCRO560-24,654996,109,86,1533,0.0,45.0,10.7866927592955,9.0,>BSCRO560-24_r_1.3_s_100_BSCRO560-24
13,BSCRO497-24_r_1.5_s_100_BSCRO497-24,BSCRO497-24,8664802,1081,400,1533,0.0,142.0,84.48140900195695,93.0,>BSCRO497-24_r_1.5_s_100_BSCRO497-24
14,BSCRO481-24_r_1_s_100_BSCRO481-24,BSCRO481-24,5048484,96,176,1563,0.0,19.0,6.435700575815739,6.0,>BSCRO481-24_r_1_s_100_BSCRO481-24
15,BSCRO508-24_r_1.5_s_50_BSCRO508-24,BSCRO508-24,6056059,827,78,1539,7.0,100.0,51.886939571150094,52.0,>BSCRO508-24_r_1.5_s_50_BSCRO508-24
16,BSCRO517-24_r_1.5_s_50_BSCRO517-24,BSCRO517-24,7778587,892,107,1536,0.0,122.0,44.458984375,47.0,>BSCRO517-24_r_1.5_s_50_BSCRO517-24
17,BSCRO558-24_r_1.3_s_50_BSCRO558-24,BSCRO558-24,7702062,1783,620,1533,0.0,234.0,94.08414872798434,95.0,>BSCRO558-24_r_1.3_s_50_BSCRO558-24
18,BSCRO486-24_r_1.3_s_100_BSCRO486-24,BSCRO486-24,5192966,93,301,1563,0.0,31.0,6.886756238003839,3.0,>BSCRO486-24_r_1.3_s_100_BSCRO486-24
19,BSCRO541-24_r_1.3_s_100_BSCRO541-24,BSCRO541-24,2918310,223,324,1533,0.0,87.0,17.931506849315067,8.0,>BSCRO541-24_r_1.3_s_100_BSCRO541-24
