ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s
2	10	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	656	1539	Scarabaeidae,Calliphoridae	BBIOP1901-24_r_1_s_50	Bolbelasmus gallicus	0	BBIOP1901-24	1	50
2	7	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	655	1539	Staphylinidae,Hydraenidae,Scarabaeidae,Hybosoridae,Melyridae,Calliphoridae	BBIOP1901-24_r_1_s_100	Bolbelasmus gallicus	0	BBIOP1901-24	1	100
0	0	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	655	1539	Scarabaeidae,Calliphoridae	BBIOP1901-24_r_1.3_s_50	Bolbelasmus gallicus	0	BBIOP1901-24	1.3	50
1	1	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	655	1539	Staphylinidae,Scarabaeidae,Geotrupidae,Hybosoridae,Calliphoridae	BBIOP1901-24_r_1.3_s_100	Bolbelasmus gallicus	0	BBIOP1901-24	1.3	100
0	0	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	644	1527	Hydraenidae,Scarabaeidae,Lucanidae,Geotrupidae	BBIOP1901-24_r_1.5_s_50	Bolbelasmus gallicus	0	BBIOP1901-24	1.5	50
0	0	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	644	1467	Staphylinidae,Hydraenidae,Scarabaeidae,Lucanidae	BBIOP1901-24_r_1.5_s_100	Bolbelasmus gallicus	0	BBIOP1901-24	1.5	100
0	0	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	655	1539	Staphylinidae,Silphidae,Scarabaeidae,Lucanidae,Geotrupidae,Melyridae	BBIOP1902-24_r_1_s_50	Bolbelasmus gallicus	0	BBIOP1902-24	1	50
0	0	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	644	1491	Staphylinidae,Scarabaeidae,Lucanidae,Hybosoridae,Dermestidae,Calliphoridae	BBIOP1902-24_r_1_s_100	Bolbelasmus gallicus	0	BBIOP1902-24	1	100
0	0	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	644	1533	Hydraenidae,Scarabaeidae,Lucanidae,Geotrupidae,Hybosoridae	BBIOP1902-24_r_1.3_s_50	Bolbelasmus gallicus	0	BBIOP1902-24	1.3	50
0	0	data/BGE00100_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Geotrupidae	BLAST	family	COI-5P	644	1491	Staphylinidae,Scarabaeidae,Lucanidae,Hybosoridae,Dermestidae,Calliphoridae	BBIOP1902-24_r_1.3_s_100	Bolbelasmus gallicus	0	BBIOP1902-24	1.3	100
