ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s
13	27	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1616-24_r_1_s_50	Arhopalus ferus	0	BBIOP1616-24	1	50
20	33	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Staphylinidae,Hydraenidae,Cerambycidae,Dermestidae	BBIOP1616-24_r_1_s_100	Arhopalus ferus	0	BBIOP1616-24	1	100
1	3	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1616-24_r_1.3_s_50	Arhopalus ferus	0	BBIOP1616-24	1.3	50
13	20	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Staphylinidae,Cerambycidae,Dermestidae	BBIOP1616-24_r_1.3_s_100	Arhopalus ferus	0	BBIOP1616-24	1.3	100
0	1	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1521	Cerambycidae	BBIOP1616-24_r_1.5_s_50	Arhopalus ferus	0	BBIOP1616-24	1.5	50
1	9	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	653	1518	Cerambycidae,Dermestidae,Drosophilidae	BBIOP1616-24_r_1.5_s_100	Arhopalus ferus	0	BBIOP1616-24	1.5	100
0	0	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1617-24_r_1_s_50	Arhopalus ferus	0	BBIOP1617-24	1	50
0	0	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1617-24_r_1_s_100	Arhopalus ferus	0	BBIOP1617-24	1	100
0	0	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1617-24_r_1.3_s_50	Arhopalus ferus	0	BBIOP1617-24	1.3	50
0	0	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1617-24_r_1.3_s_100	Arhopalus ferus	0	BBIOP1617-24	1.3	100
0	0	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1617-24_r_1.5_s_50	Arhopalus ferus	0	BBIOP1617-24	1.5	50
0	0	data/BGE00590_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Cerambycidae	BLAST	family	COI-5P	656	1542	Cerambycidae	BBIOP1617-24_r_1.5_s_100	Arhopalus ferus	0	BBIOP1617-24	1.5	100
